Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.GameSettings.General.PublishingHintLinkExplanation, is required for changing Avatar game settings, , is required for changing Avatar game settings, para cambiar la configuración del avatar en el juego, exigé pour changer les paramètres du jeu de l'avatar, がアバターゲーム設定の変更には必要です,은(는) 아바타 게임 설정을 변경하는 데 필요합니다, é necessário para mudar as configurações do avatar no jogo,требуется для изменения игровых настроек аватара,是更改虚拟形象游戏设置所必需的,是更改虚拟形象游戏设置所必需的,才可變更虛擬人偶遊戲設定
Studio.GameSettings.General.DevSubsNewHeader,New Subscription, ,New Subscription,Nueva suscripción,Nouvel abonnement,新規サブスクリプション,새 구독,Nova assinatura,Новая подписка разработчика,新订阅,新订阅,新訂閱
Studio.GameSettings.General.DevSubsDiscontinuedHeader,Discontinued Developer Subscription, ,Discontinued Developer Subscription,Suscripción del desarrollador suspendida,Interruption de l'abonnement développeur,失効済み開発者サブスクリプション,중단된 개발자 구독,Assinatura de desenvolvedor suspensa,Не продленная подписка разработчика,取消的开发者订阅,取消的开发者订阅,已取消的開發者訂閱
Studio.GameSettings.General.DevSubsDeleteAction,Delete, ,Delete,Eliminar,Supprimer,削除,삭제,Apagar,Удалить,删除,删除,刪除
Studio.GameSettings.General.DevSubsDeleteConfirm,Delete, ,Delete,Eliminar,Supprimer,削除,삭제,Excluir, ,删除,删除,刪除
Studio.GameSettings.OptInLocations.EmailAddress,Email address, ,Email address,Correo electrónico,Adresse e-mail,メールアドレス,이메일 주소,Endereço de e-mail, ,电子邮件地址,电子邮件地址,電子郵件地址
Studio.GameSettings.General.WorldPresetsClassic,Classic, ,Classic,Clásico,Classique,典型,클래식,Clássico,Классический,经典,经典,經典
Studio.GameSettings.Security.EnableThirdPartyTeleports,Allow Third Party Teleports, ,Allow Third Party Teleports,Permitir teletransporte de terceros,Autoriser les téléports de tiers,サードパーティのテレポートを許可,타사 텔레포트 허용,Permitir teleportes de terceiros, ,允许第三方传送,允许第三方传送,允許第三方傳送
Studio.GameSettings.General.WorldPresetsRealistic,Realistic, ,Realistic,Realístico,Réaliste,リアル,현실적,Realista,Реалистичный,现实,现实,真實
Studio.GameSettings.General.WorldPresetsClassicToolTip,"Classic Roblox, heavier gravity, higher jump", ,"Classic Roblox, heavier gravity, higher jump","Roblox clásico, más gravedad, salto más alto","Roblox classique, gravité plus forte, saut plus haut",典型的なRoblox、高い重力、もっと高いジャンプ,"클래식 Roblox, 무거운 중력, 높은 점프","Roblox clássico, gravidade mais pesada, pulo mais alto","Классика Roblox, гравитация выше, прыжки выше",经典 Roblox，重力加倍，跳得更高,经典 Roblox，重力加倍，跳得更高,經典 Roblox，重力和跳躍力增加
Studio.GameSettings.General.PublishTheGameToRoblox,Publish the game to Roblox, ,Publish the game to Roblox,Publicar el juego en Roblox,Publier le jeu sur Roblox,ゲームをRobloxで公開,Roblox에 게임 게시,Publicar o jogo na Roblox,Опубликовать игру в Roblox,将游戏发布到 Roblox,将游戏发布到 Roblox,將遊戲發布到 Roblox
Studio.GameSettings.General.WorldPresetsRealisticToolTip,"Real world gravity, athletic human", ,"Real world gravity, athletic human","Gravedad del mundo real, humano atlético","Gravité du monde réel, humain athlétique",現実世界の重力、アスレチックな人間,"실제 중력, 근육질 사람","Gravidade do mundo real, humano atlético","Реалистичная гравитация, человек спортивного телосложения",真实世界重力，运动员级别体能,真实世界重力，运动员级别体能,真實世界重力、健壯人物
Studio.GameSettings.General.JumpPower,Jump Power:, ,Jump Power:,Potencia del salto:,Force du saut :,ジャンプ力:,점프력:,Força do pulo:,Сила прыжка:,跳跃强度：,跳跃强度：,跳躍力：
Studio.GameSettings.General.JumpDistance,Max Jump Distance:, ,Max Jump Distance:,Distancia máxima del salto:,Distance de saut maximale :,最大ジャンプ距離:,최대 점프 거리:,Distância máxima do pulo:,Макс. длина прыжка:,最大跳跃距离：,最大跳跃距离：,最大跳躍距離：
Studio.GameSettings.General.WalkSpeed,Walk Speed:, ,Walk Speed:,Velocidad de la caminata:,Vitesse de marche :,歩行スピード:,걷기 속도:,Velocidade de caminhada:,Скорость ходьбы:,行走速度：,行走速度：,步行速度：
Studio.GameSettings.General.SlopeAngle,Max Slope Angle:, ,Max Slope Angle:,Ángulo máximo de la pendiente:,Angle de pente maximum :,最大傾斜角度:,최대 경사각:,Ângulo máximo de ladeira:,Макс. угол уклона:,最大斜坡角度：,最大斜坡角度：,最大斜坡角度：
Studio.GameSettings.OptInLocations.ApprovedChina,Live in China., ,Live in China.,Disponible en China.,Live en Chine.,中国に在住。,이미 중국에서 사용 중입니다.,Ativo na China., ,在中国使用。,在中国使用。,已在中國使用中。
Studio.GameSettings.General.UnitsMeters,({number} meters), ,({number} meters),({number} metros),({number} mètre),({number} メートル),({number}미터),({number} metros),({number} м),（{number} 米）,（{number} 米）,（{number} 公尺）
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarDefaultText,Search by username, ,Search by username,Buscar por nombre de usuario,Recherche par nom d'utilisateur,ユーザーネームで検索,사용자 이름으로 검색,Buscar por nome de usuário,Искать по имени пользователя или названию группы,按用户名搜索,按用户名搜索,以使用者名稱搜尋
Studio.GameSettings.Permissions.CollaboratorSearchbarDefaultText,Search by username, ,Search by username,Buscar por nombre de usuario,Recherche par nom d'utilisateur,ユーザーネームで検索,사용자 이름으로 검색,Busca por usuário, ,按用户名搜索,按用户名搜索,以使用者名稱搜尋
Studio.GameSettings.General.UnitsMetersPerSecond,({number} meters/second), ,({number} meters/second),({number} metros/segundo),({number} mètre/seconde),({number} メートル/秒),({number}미터/초),({number} metros/segundo),({number} м/сек),（{number} 米/秒）,（{number} 米/秒）,（{number} 公尺每秒）
Studio.GameSettings.AccessPermissions.UsersCollaboratorType,Users, ,Users,Usuarios,Utilisateurs,ユーザー,사용자,Usuários,Пользователи,用户,用户,使用者
Studio.GameSettings.Permissions.UsersCollaboratorType,Users, ,Users,Usuarios,Utilisateurs,ユーザー,사용자,Usuários, ,用户,用户,使用者
Studio.GameSettings.AccessPermissions.GroupsCollaboratorType,Groups, ,Groups,Grupos,Groupes,グループ,그룹,Grupos,Группы,群组,群组,群組
Studio.GameSettings.Permissions.GroupsCollaboratorType,Groups, ,Groups,Grupos,Groupes,グループ,그룹,Grupos, ,群组,群组,群組
Studio.GameSettings.AccessPermissions.MyFriendsCollaborator,My Friends, ,My Friends,Mis amigos,Mes amis,自分の友達,내 친구,Meus amigos,Мои друзья,我的好友,我的好友,我的好友
Studio.GameSettings.Permissions.MyFriendsCollaborator,My Friends, ,My Friends,Mis amigos,Mes amis,自分の友達,내 친구,Meus amigos, ,我的好友,我的好友,我的好友
Studio.GameSettings.AccessPermissions.CollaboratorSearchbarTooManyText1,You cannot add more than {maxNumCollaborators:int} collaborators, ,You cannot add more than {maxNumCollaborators:int} collaborators,No puedes añadir más de {maxNumCollaborators:int} colaboradores,Tu ne peux pas ajouter plus de {maxNumCollaborators:int} collaborateurs,共同制作者は {maxNumCollaborators:int} 人以上、追加できません,공동 작업자는 최대 {maxNumCollaborators:int}명까지만 추가할 수 있습니다.,Você não pode adicionar mais do que {maxNumCollaborators:int} colaboradores,Можно добавить не более {maxNumCollaborators:int} участников,无法添加 {maxNumCollaborators:int} 位以上的协作者,无法添加 {maxNumCollaborators:int} 位以上的协作者,無法增加超過 {maxNumCollaborators:int} 名合夥人
Studio.GameSettings.Permissions.CollaboratorSearchbarTooManyText1,You cannot add more than {maxNumCollaborators:int} collaborators, ,You cannot add more than {maxNumCollaborators:int} collaborators,No puedes añadir más de {maxNumCollaborators:int} colaboradores,Tu ne peux pas ajouter plus de {maxNumCollaborators:int} collaborateurs,共同制作者は {maxNumCollaborators:int} 人以上、追加できません,공동 작업자는 최대 {maxNumCollaborators:int}명까지만 추가할 수 있습니다.,Você não pode adicionar mais do que {maxNumCollaborators:int} colaboradores, ,无法添加 {maxNumCollaborators:int} 位以上的协作者,无法添加 {maxNumCollaborators:int} 位以上的协作者,無法增加超過 {maxNumCollaborators:int} 名合夥人
Studio.GameSettings.AccessPermissions.TeamCreateWarning,"To add collaborators, turn on Team Create", ,"To add collaborators, turn on Team Create","Para añadir colaboradores, activa Creación en equipo","Pour ajouter des collaborateurs, mettre sur Team Create",共同制作者を追加するには、チームクリエイトを有効化,공동 작업자를 추가하려면 팀 제작을 활성화하세요,"Para adicionar colaboradores, habilite a criação em equipe",Для добавления включите совместную разработку,要添加协作者，请打开“组队创作”,要添加协作者，请打开“组队创作”,若要增加合夥人，請開啟團隊創作
Studio.GameSettings.Permissions.TeamCreateWarning,"To add collaborators, turn on Team Create", ,"To add collaborators, turn on Team Create","Para añadir colaboradores, activa Creación en equipo","Pour ajouter des collaborateurs, mettre sur Team Create",共同制作者を追加するには、チームクリエイトを有効化,공동 작업자를 추가하려면 팀 제작을 활성화하세요,"Para adicionar colaboradores, ative a Criação em equipe", ,要添加协作者，请打开“组队创作”,要添加协作者，请打开“组队创作”,若要增加合夥人，請開啟團隊創作
Studio.GameSettings.DraftGames.PublishRequiredToActivatePlayability, to activate Playability options, , to activate Playability options, para activar las opciones de Jugabilidad, pour activer les options de capacité de jouer, ことでプレイヤビリティオプションを有効化, 플레이 가능 옵션 활성화, para ativar opções de Jogabilidade,для активации параметров играемости, 以激活“游戏受众”选项, 以激活“游戏受众”选项,才可啟用權限選項
Studio.GameSettings.AccessPermissions.DEPRECATED_CollaboratorSearchbarDefaultText,Search by user or group name, ,Search by user or group name,Buscar por usuario o nombre de grupo,Rechercher par utilisateur ou nom de groupe,ユーザーかグループ名で検索,사용자 또는 그룹 이름으로 검색,Pesquisar por nome de usuário ou nome de grupo, ,按用户或群组名称搜索,按用户或群组名称搜索,以使用者名稱或群組名稱搜尋
Studio.GameSettings.Permissions.DEPRECATED_CollaboratorSearchbarDefaultText,Search by user or group name, ,Search by user or group name,Buscar por usuario o nombre de grupo,Rechercher par utilisateur ou nom de groupe,ユーザーかグループ名で検索,사용자 또는 그룹 이름으로 검색,Pesquisar por nome de usuário ou nome de grupo, ,按用户或群组名称搜索,按用户或群组名称搜索,以使用者名稱或群組名稱搜尋
Studio.GameSettings.AccessPermissions.PermissionsUpdateMessage, We've updated our permission system!, , We've updated our permission system!, Hemos actualizado nuestro sistema de permisos., Nous avons mis à jour le système de permission !, 権限システムをアップデートしました！,권한 시스템을 업데이트했습니다!, Atualizamos nosso sistema de permissões!, , 我们对权限系统进行了更新！, 我们对权限系统进行了更新！,我們更新了權限系統！
Studio.GameSettings.Permissions.PermissionsUpdateMessage, We've updated our permission system!, , We've updated our permission system!, Hemos actualizado nuestro sistema de permisos., Nous avons mis à jour le système de permission !, 権限システムをアップデートしました！, 권한 시스템을 업데이트했습니다!, Atualizamos nosso sistema de permissões!, , 我们对权限系统进行了更新！, 我们对权限系统进行了更新！,我們更新了權限系統！
Studio.GameSettings.AccessPermissions.UpdateHyperlinkText, Learn more, , Learn more, Aprende más, En apprendre plus, もっと詳しく, 더 알아보기, Saiba mais, , 了解更多, 了解更多,了解更多
Studio.GameSettings.General.SourceLanguageTitle,Source Language, ,Source Language,Idioma de origen,Langue source,ソース言語,소스 언어,Idioma fonte, ,源语言,源语言,原始語言
Studio.GameSettings.General.AutoTextCaptureDesc,Automatically capture text from game UI while players play., ,Automatically capture text from game UI while players play.,Captura automáticamente el texto de la interfaz de usuario mientras los jugadores están jugando.,Capture automatique du texte dans l'interface utilisateur pendant que les joueurs sont en train de jouer.,プレイヤーがプレイしている間、ゲームUIから自動的にテキスト抽出。,플레이어가 플레이하는 동안 게임 UI에서 텍스트를 자동으로 캡처합니다.,Captura texto automaticamente da interface de usuário enquanto os jogadores jogam., ,当玩家进行游戏时自动从游戏界面抓取文本。,当玩家进行游戏时自动从游戏界面抓取文本。,在玩家玩遊戲時自動從遊戲使用者介面擷取文字。
Studio.GameSettings.General.UseTranslatedContentDesc,Enable translated content in game., ,Enable translated content in game.,Activar contenido traducido en el juego.,Activer le contenu gratuit dans le jeu.,ゲーム内で翻訳済みコンテンツを有効化。,번역된 콘텐츠를 게임에서 활성화합니다.,Ativar conteúdo traduzido no jogo., ,在游戏中启用已翻译的内容。,在游戏中启用已翻译的内容。,在遊戲內啟用已翻譯內容。
Studio.GameSettings.General.AutoTranslationOnlyAvailableForEnMessage,Automatic translation is unavailable for current source language., ,Automatic translation is unavailable for current source language.,La traducción automática no está disponible para ese idioma de origen.,La traduction automatique n'est pas disponible pour la langue source en cours.,自動翻訳は現在のソース言語には利用できません。,해당 소스 언어에는 자동 번역이 제공되지 않습니다.,A tradução automática não está disponível para o idioma-fonte atual., ,当前源语言无法使用自动翻译。,当前源语言无法使用自动翻译。,目前原始語言無法使用自動翻譯。
Studio.GameSettings.Monetization.TotalVIPServers,Total: {totalVipServers:int}, ,Total: {totalVipServers:int},Total: {totalVipServers:int},Total: {totalVipServers:int},合計: {totalVipServers:int},총계: {totalVipServers:int},Total: {totalVipServers:int}, ,服务器数：{totalVipServers:int},服务器数：{totalVipServers:int},伺服器數：{totalVipServers:int}
Studio.GameSettings.General.LocalizationSettingsNonLinkText, to further manage the cloud localization table for this game., , to further manage the cloud localization table for this game., para seguir gestionando la tabla de localización en la nube para este juego., pour gérer davantage le tableau de localization cloud pour ce jeu., でこのゲームのクラウド多言語化テーブルをさらに管理する。, 이 게임의 클라우드 로컬리제이션 테이블을 추가로 관리할 수 있습니다., para o gerenciamento avançado da tabela de localização na nuvem para este jogo., , 进一步管理此游戏的云本地化表格。, 进一步管理此游戏的云本地化表格。,才可進一步管理此遊戲的雲端本地化表格。
Studio.GameSettings.General.LocalizationSettingsPublishMessageNonLinkText, to activate Localization options., , to activate Localization options., para activar las opciones de localización., pour activer les options de localization., で多言語化オプションを有効化。, 그러면 로컬리제이션 옵션을 활성화할 수 있습니다., para ativar as opções de localização., , 方可启用本地化选项。, 方可启用本地化选项。,才可啟用本地化選項。
Studio.GameSettings.General.CategoryPlaces,Places, ,Places,Lugares,Emplacements,プレース,플레이스,Locais, ,场景,场景,地點
Studio.GameSettings.General.ButtonView,View, ,View,Ver,Visualiser,表示,보기,Ver, ,视图,视图,檢視
Studio.GameSettings.General.UnitsMeters1,({1} meters), ,({1} meters),({1} metros),({1} mètres),({1} メートル),({1}미터),({1} metros), ,（{1} 米）,（{1} 米）,（{1} 公尺）
Studio.GameSettings.Security.EnableThirdPartyPurchases,Allow Third Party Sales, ,Allow Third Party Sales,Permitir ventas de terceros,Autoriser les ventes aux tiers,サードパーティの販売を許可,타사 판매 허용,Permitir vendas de terceiros, ,允许第三方销售,允许第三方销售,允許第三方買賣
Studio.GameSettings.Places.PlaceName,Place Name, ,Place Name,Nombre del lugar,Nom de l'emplacement,プレース名,플레이스 이름,Nome do local, ,场景名称,场景名称,地點名稱
Studio.GameSettings.Places.MaxPlayers,Max Players, ,Max Players,Máx. de jugadores,Max Joueurs,最大プレイヤー数,최대 플레이어 수,Máximo de jogadores, ,玩家数量上限,玩家数量上限,玩家人數上限
Studio.GameSettings.Places.MaxPlayersSubText,Maximum number of players allowed in a single instance of the game., ,Maximum number of players allowed in a single instance of the game.,Número máximo de jugadores que se permite en una instancia única de juego.,Nombre maximum de joueurs permis dans une seule instance de jeu.,1つのゲームインスタンスで許可されている最大プレイヤー数。,하나의 게임 인스턴스에서 허용되는 최대 플레이어 수.,Número máximo de jogadores permitidos em uma única instância do jogo., ,游戏的每个实例中所允许的玩家数量上限。,游戏的每个实例中所允许的玩家数量上限。,每一個遊戲個體允許的玩家人數上限。
Studio.GameSettings.Places.OptimizedTitle,Roblox Optimized, ,Roblox Optimized,Roblox optimizado,Roblox optimisé,Roblox最適化済み,Roblox 최적화됨,Roblox otimizada, ,Roblox 优化,Roblox 优化,Roblox 優化
Studio.GameSettings.Places.OptimizedDescription,Fills your server to optimize for the best social gameplay experience., ,Fills your server to optimize for the best social gameplay experience.,Llena tu servidor para optimizar la mejor experiencia social de juego.,Alimente ton serveur pour optimiser la meilleure expérience de jeu.,最高のソーシャルゲームプレイ体験のためには、サーバーを充填して最適化。,최고의 소셜 게임 플레이 경험을 위해 서버를 채워 최적화합니다.,Preencha seu servidor para otimizar e obter a melhor experiência de jogo social., ,Roblox 将自动优化服务器的填充方式以获得最佳社交游戏体验。,Roblox 将自动优化服务器的填充方式以获得最佳社交游戏体验。,使用優化社交遊戲體驗的伺服器填滿方式。
Studio.GameSettings.General.DevSubsDeleteTitle,Delete Subscription, ,Delete Subscription,Eliminar suscripción,Supprimer abonnement,サブスクリプションを削除,구독 삭제,Apagar assinatura, ,删除订阅,删除订阅,刪除訂閱
Studio.GameSettings.Places.MaximumWarning,Choosing this option could cause you to lose out on gameplay time and Robux earned., ,Choosing this option could cause you to lose out on gameplay time and Robux earned.,"Si eliges esta opción, puedes perder tiempo de juego y Robux ganados.","En choisissant cette option, tu risques de perdre du temps de jeu et des Robux que tu as gagnés.",このオプションを選ぶと、ゲームプレイ時間と獲得済みのRobuxが減る原因となる可能性があります。,이 옵션을 선택하면 게임 플레이 시간 및 Robux 수익이 감소할 수 있습니다.,Escolher esta opção pode causar a perda de tempo de jogo e Robux recebidos., ,选择该选项后可能会导致产品的游戏时间与 Robux 收入下降。,选择该选项后可能会导致产品的游戏时间与 Robux 收入下降。,此選項可能會導致您的遊戲時間與賺取 Robux 下降。
Studio.GameSettings.Places.CustomizeSlotsTitle,Customize Reserved Server Slots, ,Customize Reserved Server Slots,Personalizar los espacios reservados en el servidor,Personnaliser les slots de serveurs réservés,予約済みのサーバースロットをカスタマイズ,예약 서버 슬롯 사용자 정의,Personalizar espaços reservados de servidor, ,自定义服务器留位数量,自定义服务器留位数量,自訂預留伺服器名額
Studio.GameSettings.Places.CustomizeSlotsDescription,Friends are more likely to join players in your game if you reserve slots., ,Friends are more likely to join players in your game if you reserve slots.,Es más probable que los amigos se unan a tu juego si reservar espacios.,Les amis sont plus susceptibles de rejoindre les joueurs dans ton jeu si tu réserves des créneaux.,スロットを予約すると、友達があなたのゲーム上のプレイヤーに参加する可能性が高くなります。,슬롯을 예약하면 플레이어가 내 게임에서 친구와 합류할 수 있는 가능성이 높아집니다.,Amigos tendem a se juntar a jogadores em seu jogo se você reservar espaços., ,如果在服务器上预留位置，玩家更有可能在游戏中加入其好友。,如果在服务器上预留位置，玩家更有可能在游戏中加入其好友。,若您為伺服器預留名額，玩家將更有可能加入在您的遊戲內的好友。
Studio.GameSettings.Monetization.FeeLabel,{1}% Fee:, ,{1}% Fee:,Cuota del {1}%:,{1}% de frais :,{1}% の手数料:,{1}% 수수료:,{1}% de taxa:, ,{1}% 费用：,{1}% 费用：,{1}% 費用：
Studio.GameSettings.Monetization.TitlePaidAccess,Paid Access, ,Paid Access,Acceso de pago,Accès payant,有料アクセス,유료 액세스,Acesso pago, ,付费访问,付费访问,付費通行
Studio.GameSettings.Monetization.TitleVIPServers,VIP Servers, ,VIP Servers,Servidores VIP,Serveurs VIP,VIPサーバー,VIP 서버,Servidores VIP, ,VIP 服务器,VIP 服务器,VIP 伺服器
Studio.GameSettings.Monetization.Price,Price:, ,Price:,Precio:,Prix :,価格:,가격:,Preço:, ,价格:,价格:,價格：
Studio.GameSettings.Monetization.PrivateServersPriceChangeWarning,Warning: Changing the price of Private Servers will cancel all existing subscriptions., ,Warning: Changing the price of Private Servers will cancel all existing subscriptions.,"Advertencia: Si se cambia el precio de los servidores privados, se cancelarán todas las suscripciones vigentes.",Avertissement : Changer le prix de Private Servers annulera toutes les inscriptions existantes.,警告: プライベートサーバーの価格変更をすると、現在あるすべてのサブスクリプションがキャンセルされます。,주의: 비공개 서버 가격을 변경하면 기존 구독 사항이 모두 취소됩니다.,Aviso: Mudar o preço dos servidores privados cancelará todas as assinaturas existentes., ,警告：更改私人服务器价格后将会取消所有当前订阅。,警告：更改私人服务器价格后将会取消所有当前订阅。,警告：若變更私人伺服器價錢，目前的訂閱將會全部取消。
Studio.GameSettings.Monetization.EarnLabel,You Earn:, ,You Earn:,Recibirás:,Tu gagnes :,獲得額:,내 수익금:,Você receberá:, ,你的赚取：,你的赚取：,您將賺取：
Studio.GameSettings.Monetization.Paid,Paid, ,Paid,Pagado,Payé,有料,유료,Pago, ,付费,付费,付費
Studio.GameSettings.Monetization.PaidAccessHint,"Private Servers must not be enabled, and the game must be public to enable Paid Access.", ,"Private Servers must not be enabled, and the game must be public to enable Paid Access.","Para habilitar el Acceso de pago, no deben activarse los servidores privados y el juego debe ser público.",Le serveurs privés ne doivent pas être activés et le jeu doit être public pour permettre un accès payant.,有料アクセスを有効化するには、プライベートサーバーが有効化されておらず、ゲームが公開済みであることが必須です。,유료 액세스를 활성화하려면 비공개 서버를 비활성화하고 게임을 공개해야 합니다.,Servidores privados não devem ser habilitados e o jogo deve ser público para permitir acesso pago., ,启用付费访问前，需要禁用私人服务器并将游戏设为公开。,启用付费访问前，需要禁用私人服务器并将游戏设为公开。,若要啟用付費通行，必須先停用私人伺服器，並將遊戲設為公開。
Studio.GameSettings.Monetization.ProductID,Product ID, ,Product ID,ID del producto,Identifiant produit,製品ID,제품 ID,ID do produto, ,产品 ID,产品 ID,產品 ID
Studio.GameSettings.Monetization.ProductIcon,Product Icon, ,Product Icon,Icono del producto,Icône du produit,製品アイコン,제품 아이콘,Ícone do produto, ,产品图标,产品图标,產品圖示
Studio.GameSettings.Monetization.DevProducts,Developer Products, ,Developer Products,Productos del desarrollador,Produits du développeur,開発者製品,개발자 제품,Produtos do desenvolvedor, ,开发者产品,开发者产品,開發者產品
Studio.GameSettings.General.PublishText,Publish to access Game Settings. , ,Publish to access Game Settings. ,Publicar para acceder a Configuración del juego. ,Publier pour accéder aux paramètres du jeu. ,公開してゲーム設定にアクセス。 ,게시 후 게임 설정 기능을 사용할 수 있습니다.,Publique para acessar as configurações do jogo. , ,发布后即可使用游戏设置功能。 ,发布后即可使用游戏设置功能。 ,發布後即可進入遊戲設定。
Studio.GameSettings.Errors.ErrorPriceAboveMax,Price must be less than {1}., ,Price must be less than {1}.,El precio debe ser inferior a {1}.,Le prix doit être inférieur à {1}.,{1} 以下であることが必須です。,가격은 {1}보다 낮아야 합니다.,O preço deve ser menor que {1}., ,价格必须小于 {1}。,价格必须小于 {1}。,價格應低於 {1}。
Studio.GameSettings.Errors.ErrorPriceInvalid,Enter a valid price (e.g. 1000), ,Enter a valid price (e.g. 1000),Ingresar un precio válido (p. ej. 1000),Entre un prix valide (ex : 1 000),有効な価格を入力（例：1000）,유효한 가격을 입력하세요 (예: 1000),Insira um preço válido (ex.: 1000), ,输入有效的价格 （例：1000）,输入有效的价格 （例：1000）,請輸入有效的價格（例：1000）
Studio.GameSettings.Monetization.UnsavedDevProductName,Developer Product {1}{2}, ,Developer Product {1}{2},Producto del desarrollador {1}{2},Produit développeur {1}{2},開発者製品 {1}{2},개발자 제품 {1}{2},Produto do desenvolvedor {1}{2}, ,开发者产品 {1}{2},开发者产品 {1}{2},開發者產品 {1}{2}
Studio.GameSettings.General.ButtonShutdownAllServers,Shutdown, ,Shutdown,Cerrar,Fermer,シャットダウン,종료,Desligar, ,关闭,关闭,關閉
Studio.GameSettings.General.TitleShutdownAllServers,Shutdown All Servers, ,Shutdown All Servers,Cerrar todos los servidores,Fermer tous les serveurs,すべてのサーバーをシャットダウン,모든 서버 종료,Desligar todos os servidores, ,关闭所有服务器,关闭所有服务器,關閉所有伺服器
Studio.GameSettings.General.StudioShutdownAllServicesDesc,This button will shutdown all currently running instances of your game, ,This button will shutdown all currently running instances of your game,Este botón cerrará todas las instancias actualmente en ejecución de tu juego.,Ce bouton permet de fermer toutes les instances de ton jeu en cours,このボタンはすべての現在、実行中のゲームをシャットダウンします,이 버튼을 누르면 현재 실행 중인 모든 게임 인스턴스가 종료됩니다.,Este botão desligará todas as instâncias do seu jogo que estão em execução, ,按下此按钮将会关闭当前游戏所有正在运行的实例,按下此按钮将会关闭当前游戏所有正在运行的实例,此按鈕將會關閉所有正在運行的遊戲個體
Studio.GameSettings.General.ShutdownDialogBody,Are you sure you want to shutdown all servers for this game?, ,Are you sure you want to shutdown all servers for this game?,¿Seguro que quieres cerrar todos los servidores para este juego?,Es-tu sûr de vouloir fermer tous les serveurs de ce jeu ?,このゲームのすべてのサーバーをシャットダウンしてよろしいですか？,이 게임의 모든 서버를 종료할까요?,Tem certeza de que deseja desligar todos os servidores deste jogo?, ,确定要关闭当前游戏的所有服务器吗？,确定要关闭当前游戏的所有服务器吗？,確定關閉此遊戲所有伺服器？
Studio.GameSettings.Monetization.UnsavedDevProductName1,Developer Product {1}, ,Developer Product {1},Productos del desarrollador {1},Produit développeur {1},開発者製品 {1},개발자 제품 {1},Produto do desenvolvedor {1}, ,开发者产品 {1},开发者产品 {1},開發者產品 {1}
Studio.GameSettings.General.SettingsFailedToLoad,Failed to load settings for page, ,Failed to load settings for page,Error al cargar la configuración para esta página,Echec du chargement des paramètres de la page,ページ設定を読み込めませんでした,페이지 설정을 불러오지 못했습니다,Falha ao carregar configurações para a página, ,页面设置加载失败,页面设置加载失败,無法載入頁面設定
Studio.GameSettings.Monetization.DEPRECATED_PaidAccessHint,VIP Servers must not be enabled and the game must be public to enable Paid Access., ,VIP Servers must not be enabled and the game must be public to enable Paid Access.,"Para habilitar el acceso de pago, no deben activarse los servidores VIP y el juego debe ser público.",Les serveurs VIP ne doivent être pas être activés et le jeu doit être public pour permettre un accès payant.,有料アクセスを有効化するには、VIPサーバーが有効化されておらず、ゲームが公開済みであることが必須です。,유료 액세스를 활성화하려면 VIP 서버를 비활성화하고 게임을 공개해야 합니다.,Servidores VIP devem estar desabilitados e o jogo deve ser público para permitir acesso pago., ,启用付费访问前，需要禁用 VIP 服务器并将游戏设为公开。,启用付费访问前，需要禁用 VIP 服务器并将游戏设为公开。,若要啟用付費通行，必須先停用 VIP 伺服器，並將遊戲設為公開。
Studio.GameSettings.Monetization.Free,Free, ,Free,Gratis,Gratuit,無料,무료,Grátis, ,免费,免费,免費
Studio.GameSettings.Monetization.MarketplaceFee,Marketplace Fee:, ,Marketplace Fee:,Cuota de mercado:,Frais du marketplace :,マーケットプレース手数料:,마켓플레이스 수수료:,Taxa de mercado:, ,商店费用：,商店费用：,商城費用：
Studio.GameSettings.Monetization.PrivateServersTitle,Private Servers, ,Private Servers,Servidores privados,Serveurs privés,プライベートサーバー,비공개 서버,Servidores privados, ,私人服务器,私人服务器,私人伺服器
Studio.GameSettings.Monetization.VIPServersPriceChangeWarning,Warning: Changing the price of VIP Servers will cancel all existing subscriptions., ,Warning: Changing the price of VIP Servers will cancel all existing subscriptions.,"Advertencia: Si se cambia el precio de los servidores VIP, se cancelarán todas las suscripciones vigentes.",Avertissement : changer le prix des serveurs VIP annulera toutes les inscriptions existantes.,警告: VIPサーバーの価格変更をすると、現在あるすべてのサブスクリプションがキャンセルされます。,주의: VIP 서버 가격을 변경하면 기존 구독 사항이 모두 취소됩니다.,Aviso: Mudar o preço dos servidores VIP cancelará todas as assinaturas existentes., ,警告：更改 VIP 服务器价格后将会取消所有当前订阅。,警告：更改 VIP 服务器价格后将会取消所有当前订阅。,警告：若變更 VIP 伺服器價錢，目前的訂閱將會全部取消。
