Studio.App.TeamCreateJoinMessage.Reconnecting,Team Create Join Message,Reconnecting to server...,Reconnecting to server...
Studio.App.TeamCreateJoinMessage.SettingUpServer,Team Create Join Message,Setting up server...,Setting up server...
Studio.App.TeamCreateUserData.FailToRestoreCameraPosition1,,Failed to restore camera position: {{}},Failed to restore camera position: {{}}
Studio.App.TeamTest.StartStatus,Status message displayed on the modal dialog when starting the Team Test,Join Team Test Server,Join Team Test Server
Studio.App.TeamTest.StartTitle,Title for the modal dialog when starting a Team Test,Team Test,Team Test
Studio.App.TeamTestManager.DisconnectedFromTeamTestServer,Disconnect from TeamTest Server,You have been disconnected from the team test server.,You have been disconnected from the team test server.
Studio.App.TemplatePage.Gameplay,,Gameplay,Gameplay
Studio.App.TemplatePage.Theme,,Theme,Theme
Studio.App.TemplatePageController.Baseplate,,Baseplate,Baseplate
Studio.App.TemplatesPage.AllTemplates,Templates page tab,All Templates,All Templates
Studio.App.TemplatesPage.TeamCreate,,Team Create,Team Create
Studio.App.TextureGenerator.GenerationRequestFailed,,Generation request failed.,Generation request failed.
Studio.App.TextureGenerator.PreviewRequestFailed,,Preview request failed.,Preview request failed.
Studio.App.TextureGenerator.UVUnwrappingFailed,,UV unwrapping failed.,UV unwrapping failed.
Studio.App.Theme.InvalidGetThemeApi,"Theme:GetPath api has been removed, so it cannot be used anymore",GetPath is not a valid member of Theme,GetPath is not a valid member of Theme
Studio.App.ToastNotificationService.NotAvailable,,ToastNotificationService is not available when FFlagStudioToastNotificationsInLua is false,ToastNotificationService is not available when FFlagStudioToastNotificationsInLua is false
Studio.App.Tooltip.GoToSource,,Go to source,Go to source
Studio.App.Tooltip.Variadic,,Variadic,Variadic
Studio.App.TutorialBanner.ContinueYourJourneyText,,"Continue your journey with our tutorials, and discover how to build and script complete experiences in Studio.","Continue your journey with our tutorials, and discover how to build and script complete experiences in Studio."
Studio.App.TutorialBanner.CreateYourFirstProjectText,,Create your first project in Studio with our quick introductory tour.,Create your first project in Studio with our quick introductory tour.
Studio.App.TutorialBanner.GetStartedText,,Get Started,Get Started
Studio.App.TutorialBanner.LearnStudioText,, LEARN STUDIO , LEARN STUDIO 
Studio.App.TutorialBanner.LearnWithTutorialsText,,Learn with tutorials,Learn with tutorials
Studio.App.TutorialBanner.OpenTutorialsText,, OPEN TUTORIALS , OPEN TUTORIALS 
Studio.App.TutorialBanner.StartTourText,, START TOUR , START TOUR 
Studio.App.TutorialBanner.TakeTheStudioTourText,,Take the Studio Tour,Take the Studio Tour
Studio.App.TutorialPage.Header,,Learn the fundamentals of Studio,Learn the fundamentals of Studio
Studio.App.TutorialPage.HeaderText,,Learn the fundamentals of Roblox Studio,Learn the fundamentals of Roblox Studio
Studio.App.TutorialPage.OpenTemplate,,Start with a Template instead,Start with a Template instead
Studio.App.TutorialPage.RestartTour,,Restart Tour,Restart Tour
Studio.App.TutorialPage.StartTour,,Start Tour,Start Tour
Studio.App.TutorialPage.SubHeaderText,,Learn the Studio interface and main controls in a few easy steps to start creating on Roblox!,Learn the Studio interface and main controls in a few easy steps to start creating on Roblox!
Studio.App.TutorialPage.TabTitle,Tour Tab in Start Page,Tour,Tour
Studio.App.TutorialPage.Title,Tutorial Tab in Start Page,Tour,Tour
Studio.App.TwoStepVerificationPage.Enter6DigitCode,,Enter 6-digit code,Enter 6-digit code
Studio.App.TwoStepVerificationPage.NeedHelpContact,,Need help? Contact ,Need help? Contact 
Studio.App.TwoStepVerificationPage.RobloxSupport,,Roblox Support,Roblox Support
Studio.App.TwoStepVerificationPage.StartOver,,Start Over,Start Over
Studio.App.TwoStepVerificationPage.TrustThisDeviceFor30Days,,Trust this device for 30 days,Trust this device for 30 days
Studio.App.TwoStepVerificationPage.Verify,,Verify,Verify
Studio.App.UIEditor.ScrollingFrame,ui editor menu,Scrolling Frame,Scrolling Frame
Studio.App.UIEditor.TextButton,ui editor menu,Text Button,Text Button
Studio.App.UIEditor.TextLabel,ui editor menu,Text Label,Text Label
Studio.App.UIEditorWidget.ZoomInButton,,+,+
Studio.App.UIEditorWidget.ZoomOutButton,,-,-
Studio.App.UniverseController.CanAddToGame,,This place does not belong to a game. You can add it to a game by going to a game's configuration page on the website.,This place does not belong to a game. You can add it to a game by going to a game's configuration page on the website.
Studio.App.UniverseController.FailedToLoadGameAssets,,"Failed to load game assets, some Studio features have been disabled.","Failed to load game assets, some Studio features have been disabled."
Studio.App.UniverseController.FailedToLoadGameSettings,,"Failed to load game settings, some Studio features have been disabled.","Failed to load game settings, some Studio features have been disabled."
Studio.App.UniverseController.PermissionDenied,,Unable to load universe. Permission denied.,Unable to load universe. Permission denied.
Studio.App.UniverseController.ThisPlaceDoesNotBelongToAGame,,This place does not belong to a game.,This place does not belong to a game.
Studio.App.UpdateNotifications.InChannel,,In Channel,In Channel
Studio.App.UpdateNotifications.InChannelToolTipFmt1,,Channel: %1,Channel: %1
Studio.App.UpdateUIManager.Chat,,Chat,Chat
Studio.App.UpdateUIManager.Cores,CPU Core Count,Cores,Cores
Studio.App.UpdateUIManager.PublishTcDocToDiffSlot,,Publish Team Create Document to a different slot,Publish Team Create Document to a different slot
Studio.App.UpdateUIManager.PublishToRobloxToElps,,Publish to Roblox To...,Publish to Roblox To...
Studio.App.UpdateUIManager.SaveTcDocToDiffSlot,,Save Team Create Document to a different slot,Save Team Create Document to a different slot
Studio.App.UpdateUIManager.SaveToRobloxToElps,,Save to Roblox To...,Save to Roblox To...
Studio.App.UpdateUIManager.Scheduler,Object used to schedule jobs,Scheduler,Scheduler
Studio.App.UpdateUIManager.ViewChatWindow,,View Chat Window,View Chat Window
Studio.App.UploadImageRequest.CouldNotOpenFile,,Could not open file %1,Could not open file %1
Studio.App.UploadImageRequest.CouldNotOpenFile1,,Could not open file %1,Could not open file %1
Studio.App.UploadImageRequest.UploadingQuickly1,,Uploading too quickly. Try again in %1 minute(s),Uploading too quickly. Try again in %1 minute(s)
Studio.App.UploadImageRequest.UploadingQuicklyHour1,,Uploading too quickly. Try again in %1 hour(s),Uploading too quickly. Try again in %1 hour(s)
Studio.App.UploadImageRequest.UploadingTooQuickly,,Uploading too quickly,Uploading too quickly
Studio.App.UploadTextureRequest.CouldNotReadTexture1FromTheDisk,,"Could not read texture ""%1"" from the disk","Could not read texture ""%1"" from the disk"
Studio.App.UserPlaceCreatorsListWidget.Offline,User is offline,Offline,Offline
Studio.App.UserPlaceCreatorsListWidget.PlaceOwner,User is owner of place,Place Owner,Place Owner
Studio.App.UserPlaceCreatorsListWidget.PlaceOwnerOffline,User is owner of place and is offline,Place Owner (Offline),Place Owner (Offline)
Studio.App.VersionControl.CloseScript,,Close,Close
Studio.App.VersionControl.CommitEditsToServer,,Commit edits to server,Commit edits to server
Studio.App.VersionControl.CompareWithServer,,Compare with server,Compare with server
Studio.App.VersionControl.DiscardSandboxEdits,,Discard sandbox edits,Discard sandbox edits
Studio.App.VersionHistoryController.AutoCommitMessage,,Auto generated commit,Auto generated commit
Studio.App.VersionHistoryController.AutoCommitNewSlotInitialPublish,,Initial publish commit,Initial publish commit
Studio.App.VersionHistoryController.AutoCommitNewSlotMessage1,,Initial commit published from place: %1,Initial commit published from place: %1
Studio.App.VersionHistoryController.AutoCommitPlaceRevision1,,Overwriting place from version: %1,Overwriting place from version: %1
Studio.App.VersionHistoryController.ReadOnlyScriptDocMessageFmt3,,This version is read-only. <a href='%1://%2_%3'>Click here to edit.</a>,This version is read-only. <a href='%1://%2_%3'>Click here to edit.</a>
Studio.App.VersionHistoryController.ReadOnlyScriptDocMessageFmt4,,This version is read-only. <a href='%1://%2_%3_%4'>Click here to edit.</a>,This version is read-only. <a href='%1://%2_%3_%4'>Click here to edit.</a>
Studio.App.VersionHistoryController.ReadOnlyScriptDocMessageNoEdit,,This version is read-only.,This version is read-only.
Studio.App.VersionHistoryController.ScriptEditErrorMessage,,Unable to edit script. Please try again.,Unable to edit script. Please try again.
Studio.App.VideoControl.RecordingStarted,,Video recording started,Video recording started
Studio.App.VideoControl.RecordingStopped,,Video recording stopped,Video recording stopped
Studio.App.Watch.Watch,,Watch,Watch
Studio.App.WatchTreeWidget.DeleteAll,,Delete All,Delete All
Studio.App.WatchTreeWidget.DeleteWatch,,Delete Watch,Delete Watch
Studio.App.WatchWidget.CopyEntry,Copy Entry in the WatchWidget copies via context menu only the variable info from the column selected and row currently highlighted,Copy Entry,Copy Entry
Studio.App.WatchWidget.CopyRow,Copy Row in the WatchWidget copies all the variable info via context menu,Copy Row,Copy Row
Studio.App.WatchWidget.Expression,,Expression,Expression
Studio.App.WatchWidget.Global,,Global,Global
Studio.App.WatchWidget.Local,,Local,Local
Studio.App.WatchWidget.MyWatches,,My Watches,My Watches
Studio.App.WatchWidget.Name,,Name,Name
Studio.App.WatchWidget.ScriptName,,Script Name,Script Name
Studio.App.WatchWidget.Value,,Value,Value
Studio.App.WhatsNewWindow.GetAllUpdates,,Get All Updates,Get All Updates
Studio.App.WhatsNewWindow.HttpFailure,,Unable to retrieve Whats New Updates from the DevForums page,Unable to retrieve Whats New Updates from the DevForums page
Studio.App.WhatsNewWindow.PopupDescription,,Click this button to see what's new with Studio and our developer community!,Click this button to see what's new with Studio and our developer community!
Studio.App.WhatsNewWindow.PopupGotIt,,Got it,Got it
Studio.App.WhatsNewWindow.PopupTitle,,What's New?,What's New?
Studio.App.WhatsNewWindow.SeeAllUpdates,,See All,See All
