Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
,,,Torso,Oberkörper,Torso,Torso,Torso,Torse,Badan,Busto,胴体,몸통,Tronco,Tronco,Корпус,ลำตัว,身体主干,軀幹,身体主干,Korpus,Thân,Gövde,الجزء العلوي للجسم
,,,Left Arm,Linker Arm,Left Arm,Brazo izquierdo,Brazo izquierdo,Bras gauche,Lengan Kiri,Braccio sinistro,左腕,왼팔,Braço esquerdo,Braço esquerdo,Левая рука,แขนซ้าย,左臂,左臂,左臂,Lewa ręka,Tay Trái,Sol Kol,اليد اليسرى
,,,Space,Leertaste,Space,Espacio,Espacio,Espace,Spasi,BARRA SPAZIATRICE,スペース,스페이스,Espaço,Espaço,Пробел,Space,空格,空格,空格,Spacja,Không Gian,Space Tuşu,فضاء
,,,Cannot join private server: {ERROR_REASON:translate},Beitritt zu privatem Server nicht möglich: {ERROR_REASON:translate},Cannot join private server: {ERROR_REASON:translate},No es posible unirse al servidor privado: {ERROR_REASON:translate},No es posible unirse al servidor privado: {ERROR_REASON:translate},Impossible de rejoindre le serveur privé : {ERROR_REASON:translate},Tidak dapat bergabung ke server privat: {ERROR_REASON:translate},Impossibile accedere al server privato: {ERROR_REASON:translate},プライベートサーバーに参加できません：{ERROR_REASON:translate},비공개 서버에 참여할 수 없습니다: {ERROR_REASON:translate},Não é possível juntar-se ao servidor privado: {ERROR_REASON:translate},Não é possível juntar-se ao servidor privado: {ERROR_REASON:translate},Нельзя присоединиться к частному серверу: {ERROR_REASON:translate},ไม่สามารถเข้าร่วมเซิร์ฟเวอร์ส่วนตัวได้: {ERROR_REASON:translate},由于{ERROR_REASON:translate}，无法加入私人服务器：,無法加入私人伺服器：{ERROR_REASON:translate},由于{ERROR_REASON:translate}，无法加入私人服务器：,Nie można dołączyć do serwera prywatnego: {ERROR_REASON:translate},Không tham gia được máy chủ riêng: {ERROR_REASON:translate},Özel sunucuya katılım başarısız: {ERROR_REASON:translate},لا يمكن الانضمام إلى الخادم الخاص: {ERROR_REASON:translate}
,,,Default (Classic),Standard (Klassisch),Default (Classic),Predeterminado (clásico),Predeterminado (clásico),Par défaut (Classique),Default (Klasik),Predefinita (Classica),初期設定 （定番）,기본값(클래식),Padrão (clássico),Padrão (clássico),По умолчанию (классика),ค่าเริ่มต้น (คลาสสิก),默认（经典）,預設（經典）,默认（经典）,Domyślne (klasyczne),Mặc Định (Cổ Điển),Varsayılan (Klasik),الافتراضي (كلاسيكي)
,,,Sent you a friend request!,hat dir eine Freundschaftsanfrage gesendet!,Sent you a friend request!,te envió una solicitud de amistad,te envió una solicitud de amistad,vous a envoyé une demande d'ami !,Mengirimi Kamu Permintaan Pertemanan,ti ha inviato una richiesta di amicizia!,君に友達リクエストを送ったよ！,친구 요청을 보냈어요!,Enviou um pedido de amizade para você!,Enviou um pedido de amizade para você!,отправил вам запрос дружбы!,ได้ส่งคำขอเป็นเพื่อนถึงคุณแล้ว!,向你发送了好友邀请！,已向您傳送好友邀請！,向你发送了好友邀请！,Wysłano ci prośbę o dodanie do znajomych!,Đã gửi cho bạn một yêu cầu kết bạn!,Sana bir arkadaşlık isteği gönderdi!,أرسل لك طلب صداقة!
,,,Default (Thumbstick),Standard (Thumbstick),Default (Thumbstick),Predeterminado (stick),Predeterminado (stick),Par défaut (Joystick),Default (Thumbstick),Predefinita (Levetta),初期設定（サムスティック）,기본값(엄지스틱),Padrão (direcional analógico),Padrão (direcional analógico),По умолчанию (аналоговый стик),ค่าเริ่มต้น (ทัมบ์สติก),默认（摇杆）,預設（類比搖桿）,默认（摇杆）,Domyślne (drążek),Mặc định (Cần Điều Khiển),Varsayılan (Kontrol Çubuğu),الافتراضي (Thumbstick)
,,,Roblox has shut down this experience server for maintenance. {RET:translate}...({COUNT:int}),Roblox hat diesen Experience-Server aufgrund von Wartungsarbeiten abgeschaltet. {RET:translate}...({COUNT:int}),Roblox has shut down this experience server for maintenance. {RET:translate}...({COUNT:int}),Roblox cerró el servidor de esta experiencia por mantenimiento. {RET:translate}...({COUNT:int}),Roblox cerró el servidor de esta experiencia por mantenimiento. {RET:translate}...({COUNT:int}),Roblox a fermé le serveur de cette expérience pour maintenance.{RET:translate}...({COUNT:int}),Roblox telah mematikan server pengalaman virtual ini untuk maintenance. {RET:translate}...({COUNT:int}),Roblox ha chiuso questo server dell'esperienza per manutenzione. {RET:translate}...({COUNT:int}),メンテナンスのため、Roblox によってバーチャル空間サーバーがシャットダウンされています。 {RET:translate}...({COUNT:int}),Roblox가 유지보수를 위해 이 체험 서버를 종료했습니다. {RET:translate}...({COUNT:int}),O servidor desta experiência foi encerrado pela Roblox para manutenção. {RET:translate}...({COUNT:int}),O servidor desta experiência foi encerrado pela Roblox para manutenção. {RET:translate}...({COUNT:int}),Roblox отключил сервер для техобслуживания.. {RET:translate}...({COUNT:int}),Roblox ได้ปิดการทำงานของเซิร์ฟเวอร์ประสบการณ์นี้เพื่อทำการบำรุงรักษา {RET:translate}...({COUNT:int}),维护期间，Roblox 已关闭此服务器。（{RET:translate}...（{COUNT:int}）,Roblox 因維修已關閉此體驗伺服器。{RET:translate}……（{COUNT:int}）,维护期间，罗布乐思已关闭此服务器。（{RET:translate}...（{COUNT:int}）,Platforma Roblox wyłączyła ten serwer w celu przeprowadzenia konserwacji. {RET:translate}... ({COUNT:int}),Roblox đã tắt máy chủ trải nghiệm này để bảo trì. {RET:translate}...({COUNT:int}),"Roblox, bu deneyimin sunucusunu bakım için kapattı. {RET:translate}...({COUNT:int})",أغلقت Roblox خادم هذه التجربة لأعمال صيانة. {RET:translate}...({COUNT:int})
,,,An error occurred while unfriending {RBX_NAME}. Please try again later.,Bei der Entfernung von {RBX_NAME} als Freund ist ein Fehler aufgetreten. Bitte versuche es später erneut.,An error occurred while unfriending {RBX_NAME}. Please try again later.,Se produjo un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Se produjo un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de la suppression de l'ami {RBX_NAME}. Veuillez réessayer plus tard.,Terjadi eror saat memutus pertemanan dengan {RBX_NAME}. Coba lagi nanti.,Si è verificato un errore nel togliere l'amicizia a {RBX_NAME}. Riprova più tardi.,{RBX_NAME} さんの友達解除でエラーが発生しました。しばらくしてからやり直してください。,{RBX_NAME} 님을 친구 끊기하는 동안 오류가 발생했습니다. 나중에 다시 시도하세요.,Ocorreu um erro ao cancelar amizade com {RBX_NAME}. Tente novamente mais tarde.,Ocorreu um erro ao cancelar amizade com {RBX_NAME}. Tente novamente mais tarde.,При удалении пользователя {RBX_NAME} из друзей произошла ошибка. Повтори попытку позже.,"เกิดข้อผิดพลาดขณะเลิกเป็นเพื่อนกับ ""{RBX_NAME}"" โปรดลองอีกครั้งในภายหลัง",与“{RBX_NAME}”解除好友关系时出错。请稍候重试。,與 {RBX_NAME} 解除好友關係時發生錯誤，請稍後再試。,与“{RBX_NAME}”解除好友关系时出错。请稍候重试。,Wystąpił błąd podczas usuwania użytkownika {RBX_NAME} z listy znajomych. Spróbuj ponownie później.,Đã xảy ra lỗi khi hủy kết bạn {RBX_NAME}. Vui lòng thử lại sau.,{RBX_NAME} arkadaşlıktan çıkarılırken bir hata oluştu. Lütfen daha sonra tekrar dene.,حدث خطأ أثناء إلغاء الصداقة {RBX_NAME}. الرجاء المحاولة لاحقًا.
,,,Print Screen,Drucktaste,Print Screen,Imprimir pantalla,Imprimir pantalla,Impression écran,Ambil Tangkapan Layar,STAMP,画面プリント,화면 캡쳐,Captura de tela,Captura de tela,Печать экрана,จับภาพหน้าจอ,屏幕截图,截圖,屏幕截图,Zrzut ekranu,In Màn Hình,Print Screen Tuşu,طباعة الشاشة
,,,Your balance after this transaction will be R${RBX_NUMBER},Nach dieser Transaktion wird dein Kontostand {RBX_NUMBER} R$ betragen.,Your balance after this transaction will be R${RBX_NUMBER},Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Tu saldo después de esta transacción será de {RBX_NUMBER} R$.,Votre solde après cette transaction sera de {RBX_NUMBER} R$,"Setelah transaksi ini, saldo kamu akan menjadi R${RBX_NUMBER}","Dopo la transazione, avrai R${RBX_NUMBER}",この取引の後の残高は R${RBX_NUMBER}です,본 거래 후 예상 잔액은 R${RBX_NUMBER}입니다.,Seu saldo depois desta transação será de R${RBX_NUMBER},Seu saldo depois desta transação será de R${RBX_NUMBER},После этой операции баланс составит R${RBX_NUMBER},หลังการทำธุรกรรมนี้คุณจะมียอดคงเหลือ R${RBX_NUMBER},此次交易后，你的余额将为 R${RBX_NUMBER}。,您在此交易後的餘額將為 R${RBX_NUMBER}。,此次交易后，你的余额将为 R${RBX_NUMBER}。,Saldo po tej transakcji: {RBX_NUMBER} R$,Số dư của bạn sau giao dịch này sẽ là ${RBX_NUMBER} Robux,Bu işlemden sonra bakiyen ${RBX_NUMBER}R olacak,سيصير رصيدك بعد هذه المعاملة R${RBX_NUMBER}
,,,Graphics Quality,Grafikqualität,Graphics Quality,Calidad gráfica,Calidad gráfica,Qualité graphismes,Kualitas Grafik,Qualità grafica,グラフィック品質,그래픽 품질,Qualidade dos gráficos,Qualidade dos gráficos,Качество графики,คุณภาพกราฟิก,图形画质,圖形畫質,图形画质,Jakość grafiki,Chất Lượng Đồ Họa,Grafik Kalitesi,جودة الرسومات
,,,{RBX_NAME} was muted for the following reason(s): {RBX_NAME},{RBX_NAME} wurde aus folgenden Gründen stummgeschaltet: {RBX_NAME},{RBX_NAME} was muted for the following reason(s): {RBX_NAME},Se silenció a {RBX_NAME} por las razones siguientes: {RBX_NAME},Se silenció a {RBX_NAME} por las razones siguientes: {RBX_NAME},{RBX_NAME} a été mis.e en sourdine pour la/les raison(s) suivante(s) : {RBX_NAME},{RBX_NAME} telah dibisukan karena alasan berikut: {RBX_NAME},{RBX_NAME} non ha più la parola per le seguenti motivazioni: {RBX_NAME},{RBX_NAME} は次の理由によりミュートされました: {RBX_NAME},{RBX_NAME} 님이 음소거되었어요. 음소거 이유: {RBX_NAME},{RBX_NAME} foi silenciado(a). Motivo(s): {RBX_NAME},{RBX_NAME} foi silenciado(a). Motivo(s): {RBX_NAME},Пользователь {RBX_NAME} добавлен в список игнорируемых по следующим причинам: {RBX_NAME},{RBX_NAME} ถูกปิดเสียงเนื่องจากสาเหตุต่อไปนี้: {RBX_NAME},“{RBX_NAME}”被禁言的原因为：{RBX_NAME},{RBX_NAME} 因下列原因被靜音：{RBX_NAME},“{RBX_NAME}”被禁言的原因为：{RBX_NAME},Użytkownik {RBX_NAME} został wyciszony. Powód: {RBX_NAME},{RBX_NAME} đã bị tắt tiếng vì (các) lý do sau: {RBX_NAME},{RBX_NAME} şu nedenlerden ötürü sessize alındı: {RBX_NAME},تم كتم {RBX_NAME} للأسباب التالية: {RBX_NAME}
,,,GPU,GPU,GPU,GPU,GPU,Processeur Graphique,GPU,GPU,GPU,GPU,GPU,GPU,Графический процессор,GPU,GPU,圖形處理器,GPU,Karta graficzna,GPU,Ekran Kartı,GPU
,,,Move Backward,Rückwärts bewegen,Move Backward,Moverse hacia atrás,Moverse hacia atrás,Reculer,Bergerak ke Belakang,Muovi indietro,後ろに移動,뒤로 이동,Mover (trás),Mover (trás),Назад,เลื่อนไปข้างหลัง,后退,向後,后退,Ruch do tyłu,Lùi Lại,Geri Git,انتقال للخلف
,,,Remove From Hotbar,Schnellzugriff entfernen,Remove From Hotbar,Eliminar de la barra de acceso rápido,Eliminar de la barra de acceso rápido,Retirer de la barre de raccourcis,Dihapus dari Hotbar,Togli da barra scelta rap.,ホットバーから削除,핫바 창에서 제거,Remover da barra,Remover da barra,Удалить из панели быстрого доступа,เอาออกจากแถบงานด่วน,从快捷栏删除,從快捷列移除,从快捷栏删除,Usuń z paska narzędzi,Loại Bỏ Khỏi Hotbar,Hızlı Erişim Çubuğundan Kaldır,إزالة من Hotbar
,,,Leaderboard,Bestenliste,Leaderboard,Clasificación,Clasificación,Tableau des scores,Papan Peringkat,Classifica,スコアボード,리더보드,Classificação,Classificação,Список лидеров,ตารางอันดับ,排行榜,排行榜,排行榜,Ranking,Bảng Xếp Hạng,Liderlik Tablosu,المشاركون
,,,Video Settings,Video-Einstellungen,Video Settings,Configuración de vídeo,Configuración de vídeo,Paramètres vidéo,Pengaturan Video,Impostazioni video,ビデオ設定,동영상 설정,Configurações de vídeo,Configurações de vídeo,Настройки видео,การตั้งค่าวิดีโอ,视频设置,影片設定,视频设置,Ustawienia wideo,Cài Đặt Video,Video Ayarları,إعدادات الفيديو
,,,Leave,Verlassen,Leave,Salir,Salir,Quitter,Keluar,Esci,退出,나가기,Sair,Sair,Выйти,ออก,离开,離開,离开,Opuść,Rời Khỏi,Ayrıl,مغادرة
,,,Dismiss,Verwerfen,Dismiss,Descartar,Descartar,Rejeter,Tutup,Ignora,却下,취소,Dispensar,Dispensar,Отклонить,ปิด,关闭,關閉,关闭,Odrzuć,Bỏ qua,Kapat,تجاهل
,,,Cannot join experience instance: {ERROR_REASON},Beitritt zur Experience-Instanz nicht möglich: {ERROR_REASON},Cannot join experience instance: {ERROR_REASON},No es posible unirse a la instancia de la experiencia: {ERROR_REASON},No es posible unirse a la instancia de la experiencia: {ERROR_REASON},Impossible de joindre l'instance de l'expérience : {ERROR_REASON},Tidak dapat bergabung ke pengalaman virtual instance: {ERROR_REASON},Impossibile partecipare all'istanza dell'esperienza: {ERROR_REASON},バーチャル空間のインスタンスに参加できません: {ERROR_REASON},체험 인스턴스에 참여할 수 없음: {ERROR_REASON},Não é possível juntar-se à instância da experiência: {ERROR_REASON},Não é possível juntar-se à instância da experiência: {ERROR_REASON},Не удалось присоединиться: {ERROR_REASON},ไม่สามารถเข้าร่วมอินสแตนซ์ประสบการณ์ได้: {ERROR_REASON},无法加入体验：{ERROR_REASON},無法加入體驗： {ERROR_REASON},无法加入体验：{ERROR_REASON},Nie można dołączyć do instancji projektu: {ERROR_REASON},Không tham gia được phiên bản trải nghiệm: {ERROR_REASON},Deneyim durumuna katılım başarısız: {ERROR_REASON},لا يمكن الانضمام إلى التجربة: {ERROR_REASON}
,,,W/Up Arrow,W/Aufwärtspfeil,W/Up Arrow,W/Cursor arriba,W/Cursor arriba,W/Flèche haut,W/Panah Atas,W/Freccia SU,W/上カーソル,W/위쪽 화살표,W/seta para cima,W/seta para cima,W/стрелка вверх,W/ลูกศรขึ้น,W/上箭头,W、↑,W/上箭头,W / strzałka w górę,W/Mũi Tên Lên,W/Yukarı Ok Tuşu,W/سهم للأعلى
,,,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Club des bâtisseurs extraordinaires,Outrageous Builders Club,Turbo Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Невероятный клуб создателей,Builders Club แบบ Outrageous,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Uçuk Yaratıcılar Kulübü,Outrageous Builders Club
,,,This item cost more ROBUX than you have available. Please leave this game and go to the ROBUX screen to purchase more.,"Dieser Artikel kostet mehr ROBUX, als dir zur Verfügung stehen. Bitte verlasse dieses Spiel, gehe zum ROBUX-Menü und kaufe dort mehr.",This item cost more ROBUX than you have available. Please leave this game and go to the ROBUX screen to purchase more.,Este objeto cuesta más ROBUX de los que tienes disponibles. Sal de este juego y ve a la pantalla de ROBUX para comprar más.,Este objeto cuesta más ROBUX de los que tienes disponibles. Sal de este juego y ve a la pantalla de ROBUX para comprar más.,Cet objet coûte plus de ROBUX que vous n'en avez. Veuillez quitter le jeu et aller à l'écran ROBUX pour en acheter plus.,Kamu tidak memiliki cukup ROBUX untuk membeli item ini. Keluar dari game ini lalu buka halaman ROBUX untuk membeli lebih banyak.,Questo oggetto costa più ROBUX di quanti tu ne abbia. Esci dal gioco e vai nella schermata dei ROBUX per acquistarne altri.,このアイテムを買うにはお持ちのROBUXでは足りません。もっと購入するにはゲームを終了してROBUX画面に行ってください。,ROBUX가 부족해 본 아이템을 구매할 수 없습니다. ROBUX를 구매하려면 게임을 종료 후 ROBUX 화면으로 이동하세요.,Este item custa mais ROBUX do que você possui disponível. Saia da experiência e vá para a tela de ROBUX para comprar mais.,Este item custa mais ROBUX do que você possui disponível. Saia da experiência e vá para a tela de ROBUX para comprar mais.,"Цена товара превышает имеющееся у тебя количество ROBUX. Выйди из этой игры и перейди в раздел ROBUX, чтобы купить больше.",คุณมี Robux ไม่เพียงพอที่จะซื้อไอเท็มนี้ โปรดออกจากเกมนี้แล้วไปที่หน้าจอ Robux เพื่อซื้อเพิ่ม,你的 ROBUX 不足，无法购买此物品。请离开此作品，前往 ROBUX 屏幕以购买更多。,您的 Robux 不足，無法購買此道具。請離開此體驗，前往 Robux 畫面加購 Robux。,此物品的价格超过了你拥有的罗宝。请离开此作品，前往罗宝屏幕以购买更多。,"Ten przedmiot kosztuje więcej ROBUXÓW, niż masz do dyspozycji. Opuść tę grę i przejdź na ekran ROBUXÓW, aby dokupić ich więcej.",Bạn không có đủ ROBUX để mua vật phẩm này. Vui lòng rời khỏi trò chơi này và đi đến màn hình ROBUX để mua thêm.,"Bu öğenin fiyatı, sahip olduğun ROBUX'tan daha fazla. Lütfen bu oyundan ayrıl ve daha fazla ROBUX satın almak için ROBUX ekranına git.",هذا العنصر يكلف Robux أكثر مما في رصيدك. الرجاء مغادرة اللعبة ثم الانتقال إلى شاشة Robux لشراء المزيد.
,,,Video,Video,Video,Vídeo,Vídeo,Vidéo,Video,Video,ビデオ,동영상,Vídeo,Vídeo,Видео,วิดีโอ,视频,影片,视频,Film,Video,Video,فيديو
,,,Hat,Hut,Hat,Sombrero,Sombrero,Chapeau,Topi,Cappello,帽子,모자,Chapéu,Chapéu,Головной убор,หมวก,帽子,帽子,帽子,Nakrycie głowy,Nón,Şapka,Hat
,,,Confirm Block,Blockierung bestätigen,Confirm Block,Confirmar bloqueo,Confirmar bloqueo,Confirmer le blocage,Konfirmasi Blokir,Conferma blocco,ブロックを確認,차단 확인,Confirmar bloqueio,Confirmar bloqueio,Подтверждение блокировки,ยืนยันการบล็อค,确认屏蔽,確認封鎖,确认屏蔽,Potwierdź zablokowanie,Xác Nhận Chặn,Engellemeyi Onayla,تأكيد الحظر
,,,ROBLOX version is out of date. Please uninstall and try again.,Die ROBLOX-Version ist nicht aktuell. Bitte deinstallieren und erneut versuchen.,ROBLOX version is out of date. Please uninstall and try again.,"Esta versión de ROBLOX es obsoleta. Por favor, desinstálala y vuelve a intentarlo.","Esta versión de ROBLOX es obsoleta. Por favor, desinstálala y vuelve a intentarlo.",Cette version de ROBLOX est obsolète. Veuillez désinstaller et réessayer.,Versi ROBLOX sudah kedaluwarsa. Uninstall Roblox lalu coba lagi.,Versione di ROBLOX obsoleta. Disinstalla e riprova.,古いバージョンのROBLOXです。アンインストールしてリトライしてください。,ROBLOX 버전이 오래되었습니다. 프로그램 제거 후 다시 시도하세요.,Sua versão do ROBLOX não está atualizada. Desinstale e tente novamente.,Sua versão do ROBLOX não está atualizada. Desinstale e tente novamente.,Эта версия ROBLOX устарела. Удали приложение и повтори попытку.,เวอร์ชันของ Roblox ไม่เป็นปัจจุบัน โปรดถอนการติดตั้งแล้วลองอีกครั้ง,Roblox 版本已过期。请解除安装并重试。,ROBLOX 版本過時，請重新安裝 ROBLOX。,罗布乐思版本已过期。请解除安装并重试。,Nieaktualna wersja platformy ROBLOX. Odinstaluj i spróbuj ponownie.,Phiên bản ROBLOX đã lỗi thời. Vui lòng gỡ cài đặt và thử lại.,ROBLOX sürümü güncel değil. Lütfen yüklemeyi kaldırıp tekrar dene.,إصدار ROBLOX قديم. الرجاء إلغاء التثبيت والمحاولة مرة أخرى.
,,,Hair Accessory,Haar-Accessoire,Hair Accessory,Accesorio para el pelo,Accesorio para el pelo,Accessoire de cheveux,Aksesori Rambut,Accessorio capelli,ヘアアクセサリ,헤어 장신구,Acessório de cabelo,Acessório de cabelo,Аксессуар для волос,ไอเท็มเสริมสำหรับผม,头发配饰,髮型飾品,头发配饰,Akcesorium – włosy,Phụ Kiện Tóc,Saç Aksesuarı,إكسسوار للشعر
,,,You must wait {RBX_NUMBER} second before sending another message!,"Du musst {RBX_NUMBER} Sekunde lang warten, bevor du eine weitere Nachricht senden kannst!",You must wait {RBX_NUMBER} second before sending another message!,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,¡Debes esperar {RBX_NUMBER} segundo antes de enviar otro mensaje!,Vous devez attendre {RBX_NUMBER} seconde avant d'envoyer un autre message !,Kamu harus menunggu {RBX_NUMBER} detik sebelum mengirim pesan lain.,Devi aspettare {RBX_NUMBER} secondo prima di inviare un altro messaggio!,{RBX_NUMBER} 秒待ってから次のメッセージを送ってください!,추가 메시지를 보내기 전에 {RBX_NUMBER}초 동안 기다려야 해요!,Você precisa esperar {RBX_NUMBER} segundo antes de enviar outra mensagem!,Você precisa esperar {RBX_NUMBER} segundo antes de enviar outra mensagem!,Ты сможешь отправить новое сообщение только через {RBX_NUMBER} с,คุณจำเป็นต้องรอเป็นเวลา {RBX_NUMBER} วินาทีก่อนที่จะส่งข้อความอื่นต่อ!,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,請在 {RBX_NUMBER} 秒後再傳送新的訊息。,发送另一条消息前你必须等待 {RBX_NUMBER} 秒！,Musisz odczekać {RBX_NUMBER} s przed wysłaniem kolejnej wiadomości!,Bạn phải đợi {RBX_NUMBER} giây trước khi có thể gửi một tin nhắn khác!,Başka bir mesaj göndermeden önce {RBX_NUMBER} saniye beklemen gerekiyor!,يتعيّن عليك الانتظار {RBX_NUMBER} ثانية قبل إرسال رسالة أخرى!
,,,Dev Console,Entwicklerkonsole,Dev Console,Consola de desarrollo,Consola de desarrollo,Console de dév.,Konsol Dev,Console svilup.,Dev コンソール,개발자 콘솔,Console de desenvolvimento,Console de desenvolvimento,Консоль разработчика,คอนโซลนักพัฒนา,开发控制台,開發人員控制台,开发控制台,Konsola deweloperska,Máy Chơi Game của Nhà Phát Triển,Geliştirici Konsolu,وحدة تحكم المبرمجين
,,,Text,Text,Text,Texto,Texto,Texte,Teks,Testo,テキスト,텍스트,Texto,Texto,Текст,ข้อความ,文字,文字,文字,Tekst,Văn Bản,Metin,نص
,,,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML,HTML
,,,Ctrl-Shift-C again to restore.,Zum Wiederherstellen erneut Strg-Umschalt-C drücken.,Ctrl-Shift-C again to restore.,Vuelve a pulsar Ctrl-Mayús-C para restablecerla.,Vuelve a pulsar Ctrl-Mayús-C para restablecerla.,Ctrl-Maj-C pour la restaurer.,Ctrl-Shift-C lagi untuk memulihkan.,Ancora CTRL-MAIUSC-C per ripristinare.,Ctrl-Shift-Cをもう一度押して復元。,복구하려면 Ctrl-Shift-C를 클릭하세요.,Ctrl-Shift-C de novo para restaurar.,Ctrl-Shift-C de novo para restaurar.,"Снова нажмите Ctrl-Shift-C, чтобы восстановить.",Ctrl-Shift-C อีกครั้งเพื่อกู้คืน,重按 Ctrl-Shift-C 以还原。,重按 Ctrl-Shift-C 復原。,重按 Ctrl-Shift-C 以还原。,"Naciśnij ponownie kombinację Ctrl-Shift-C, aby przywrócić.",Nhấn Ctrl-Shift-C một lần nữa để khôi phục.,Geri yüklemek için tekrar Ctrl+Shift+C.,Ctrl-Shift-C مجددًا للاستعادة.
,,,This experience has ended. {RET:translate}...({COUNT:int}),Diese Experience ist beendet. {RET:translate}...({COUNT:int}),This experience has ended. {RET:translate}...({COUNT:int}),La experiencia finalizó. {RET:translate}...({COUNT:int}),La experiencia finalizó. {RET:translate}...({COUNT:int}),Cette expérience a pris fin. {RET:translate}... ({COUNT:int}),Pengalaman virtual ini sudah berakhir. {RET:translate}...({COUNT:int}),Questa esperienza è finita. {RET:translate}...({COUNT:int}),このバーチャル空間は終了しました {RET:translate}...({COUNT:int}),이 체험은 종료되었습니다. {RET:translate}...({COUNT:int}),Esta experiência foi finalizada. {RET:translate}...({COUNT:int}),Esta experiência foi finalizada. {RET:translate}...({COUNT:int}),Этот плейс закончился. {RET:translate}...({COUNT:int}),ประสบการณ์นี้สิ้นสุดลงแล้ว {RET:translate}...({COUNT:int}),体验已结束。 {RET:translate}...（{COUNT:int}）,此體驗已結束。{RET:translate}……（{COUNT:int}）,体验已结束。 {RET:translate}...（{COUNT:int}）,Ten projekt się skończył. {RET:translate}... ({COUNT:int}),Trải nghiệm này đã kết thúc. {RET:translate}...({COUNT:int}),Bu deneyim sona erdi. {RET:translate}...({COUNT:int}),انتهت هذه التجربة. {RET:translate}...({COUNT:int})
,,,Add Friend,Freund hinzufügen,Add Friend,Añadir amistad,Añadir amistad,Ajouter ami,Tambahkan Teman,Aggiungi amico,友達を追加,친구 추가,Adicionar amigo,Adicionar amigo,Добавить друга,เพิ่มเพื่อน,添加好友,新增好友,添加好友,Dodaj znajomego,Thêm Bạn Bè,Arkadaş Ekle,إضافة صديق
,,,Experience or Person?,Experience oder Person?,Experience or Person?,¿Experiencia o persona?,¿Experiencia o persona?,Expérience ou Personne ?,Pengalaman Virtual atau Pengguna?,Esperienza o persona?,バーチャル空間ですか、人ですか？,신고 대상(체험 또는 회원) 선택,Experiência ou pessoa?,Experiência ou pessoa?,Плейс или человек?,ประสบการณ์หรือผู้ใช้?,作品或玩家？,體驗還是使用者？,作品或玩家？,Projekt czy osoba?,Kinh nghiệm hay Người?,Deneyim mi Kişi mi?,التجربة أو الشخص؟
,,,Account: <13,Konto: <13,Account: <13,Cuenta: <13,Cuenta: <13,Compte : <13,Akun: < 13,Account: più di 13 anni,アカウント: <13,계정: 만 13세 미만,Conta: <13,Conta: <13,Аккаунт: <13,บัญชี: ตำ่กว่า 13 ปี,帐户：<13,帳號：<13,帐户：<13,Konto: <13,Tài khoản: 13,Hesap: <13,الحساب: أصغر من 13
,,,Your party is too large to fit. ({COUNT:int}),Deine Party ist zu groß. ({COUNT:int}),Your party is too large to fit. ({COUNT:int}),Tu equipo es demasiado grande. ({COUNT:int}),Tu equipo es demasiado grande. ({COUNT:int}),Votre groupe comporte trop de membres.. ({COUNT:int}),Grup kamu terlalu besar. ({COUNT:int}),Il tuo gruppo è troppo grande. ({COUNT:int}),パーティーが大きすぎてフィットしません。 ({COUNT:int}),파티원이 너무 많아 참가할 수 없어요. ({COUNT:int}),Sua equipe é muito grande ({COUNT:int}),Sua equipe é muito grande ({COUNT:int}),Группа слишком велика ({COUNT:int}),กลุ่มของคุณใหญ่เกินไปที่จะเข้าร่วม ({COUNT:int}),你的团队人数过多，无法加入 ({COUNT:int}),您的隊伍人數過多，無法加入。（{COUNT:int}）,你的团队人数过多，无法加入 ({COUNT:int}),"Twoja ekipa jest zbyt duża, aby się zmieścić. ({COUNT:int})",Tổ đội của bạn quá lớn để phù hợp. ({COUNT:int}),"Grubun, sığamayacak kadar büyük. ({COUNT:int})",مجموعتك كبيرة جدًا لا يمكن استيعابها. ({COUNT:int})
,,,Click to Move,Zum Bewegen klicken,Click to Move,Clic para moverse,Clic para moverse,Cliquer pour se déplacer,Ketuk untuk Bergerak,Clicca per muovere,クリックして移動,마우스 클릭으로 이동,Clique para mover,Clique para mover,Движение по нажатию,คลิกเพื่อเคลื่อนไหว,点按以移动,點擊移動,点按以移动,"Kliknij, aby wykonać ruch",Nhấp để Di chuyển,Hareket etmek için tıkla,انقر للتنقل
