Studio.App.RobloxViewStudio.UseWorldSpace,,,Use World Space,Use World Space,월드 공간 사용,Использовать место в мировом пространстве,使用世界空间
Studio.App.UserPlaceCreatorsListWidget.Offline,,,Offline,Offline,오프라인,Не в сети,离线
Studio.App.UserPlaceCreatorsListWidget.PlaceOwner,,,Place Owner,Place Owner,플레이스 소유자,Владелец места,场景所有者
Studio.App.UserPlaceCreatorsListWidget.PlaceOwnerOffline,,,Place Owner (Offline),Place Owner (Offline),플레이스 소유자(오프라인),Владелец места (не в сети),场景所有者 (离线)
Studio.App.BulkImportController.ImagesSupportedTypes1,,,Images (%1),Images (%1),이미지(%1),Изображения (%1),图像（%1）
Studio.App.BulkImportController.MeshesSupportedTypes1,,,Meshes (%1),Meshes (%1),메시(%1),Сетки (%1),网格 (%1)
Studio.App.BulkImport.ClearWindow,,,Clear Window,Clear Window,창 치우기,Очистить окно,清除窗口
Studio.App.DraftsServiceHost.ConfirmScriptDeleteButton,,,Delete,Delete,삭제,Удалить,删除
Studio.App.InsertObjectWidget.NoResultsFound,,,No Results Found,No Results Found,결과를 찾을 수 없음,Результатов не найдено,未找到结果
Studio.App.MainWindow.AmongRegisteredTrademarks2,,,"<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='%1'>%2</a></p></div>","<i>Roblox</i>, the Roblox <i>logo</i> and <i>Powering Imagination</i> are among our registered and unregistered trademarks in the U.S. and other countries.</p><p>Contact us at <a href='%1'>%2</a></p></div>","<i>Roblox</i>, Roblox <i>로고</i> 및 <i>Powering Imagination</i>은 미국 및 기타 국가에서 Roblox의 등록 상표 및 미등록 상표입니다.</p><p><a href='%1'>%2</a>에서 문의하기</p></div>","<i>Roblox</i>, <i>эмблема</i> Roblox и <i>Powering Imagination</i> входят в число наших зарегистрированных и незарегистрированных товарных знаков в США и других странах.</p><p>Связаться с нами: <a href='%1'>%2</a></p></div>",<i>Roblox</i>、Roblox<i>标志</i>及<i>Powering Imagination</i>是我们在美国及其他国家/地区的注册与未注册商标。</p><p>请前往<a href='%1'>%2</a>联系我们</p></div>
Studio.App.Merge.DialogTitle1,,,Merge Server with Draft - %1,Merge Server with Draft - %1,서버와 초안 병합 - %1,Слияние сервера с черновиком - %1,将草稿与服务器进行合并 - %1
Studio.App.QuickOpenDialog.Instance,,,Instance,Instance,인스턴스,Экземпляр,示例
Studio.App.QuickOpenDialog.Recent,,,Recent,Recent,최근,Недавние,最近
Studio.App.QuickOpenDialog.ScriptOnly,,,Script Only,Script Only,스크립트만,Только скрипт,仅脚本
Studio.App.QuickOpenDialog.ShowMore,,,Show More,Show More,더 보기,Показать больше,显示更多
Studio.App.QuickOpenDialog.SpaceAsWildcard,,,Space as Wildcard,Space as Wildcard,와일드카드로 공간 추가,Пробел - подстановочный знак,空格视为通配符
Studio.App.RBXMainWindow.BulkImport,,,Bulk Import,Bulk Import,일괄 가져오기,Массовый импорт,批量导入
Studio.App.RobloxRibbonMainWindow.ViewBulkImport,,,View Bulk Import,View Bulk Import,일괄 가져오기 보기,Отобразить массовый импорт,查看批量导入
Studio.App.RobloxStudioVerbs.QuickOpen,,,Quick Open,Quick Open,빠른 열기,Быстрое открытие,快捷打开
Studio.App.Updates.BetaFeatureDescription,,,"Instead of blocking the opening of new Studio windows and test sessions when an update is available, cancellable prompts will periodically appear offering to update Studio","Instead of blocking the opening of new Studio windows and test sessions when an update is available, cancellable prompts will periodically appear offering to update Studio",업데이트가 제공되면 테스트 세션과 새 Studio 창 열기를 차단하는 대신 Studio 업데이트를 제안하는 취소 가능한 프롬프트가 주기적으로 나타납니다.,"При наличии обновления больше не будет блокироваться открытие новых окон и сеансов тестирования. Вместо этого будут появляться предложения обновить Studio, допускающие отмену.",当更新可用时，将定期出现可取消的弹窗建议更新 Studio，而不会妨碍开启新的 Studio 窗口与测试进程。
Studio.App.Updates.BetaFeatureName,,,Safe Studio Updates,Safe Studio Updates,안전한 Studio 업데이트,Безопасные обновления,安全 Studio 更新
Studio.App.Updates.ShutdownConfirmationText,,,There is a new Studio update available. Shutdown to update?,There is a new Studio update available. Shutdown to update?,사용 가능한 새 Studio 업데이트가 있습니다. 업데이트를 종료할까요?,Доступно обновление Studio. Завершить работу для загрузки обновления?,有新的 Studio 更新可用。是否关闭程序并更新？
Studio.App.Updates.ShutdownPromptButton,,,Shutdown,Shutdown,종료,Завершение работы,关闭
Studio.App.Updates.UpdateAvailableToast,,,A new version of Studio is available,A new version of Studio is available,새 버전의 Studio를 사용할 수 있음,Доступна новая версия Studio,有新的 Studio 版本可用
Studio.App.AddEmulationDeviceDialog.DeviceForm,,,Device Form,Device Form,기기 형식,Форма устройства:,设备种类
Studio.App.AddEmulationDeviceDialog.GuiInsets,,,GuiInsets,GuiInsets,GuiInsets,GuiInsets:,GuiInsets
Studio.App.AddEmulationDeviceDialog.KeyboardAnimationDuration,,,Keyboard Animation Duration (s),Keyboard Animation Duration (s),키보드 애니메이션 지속 시간(초),Длительность анимации клавиатуры (сек.):,键盘动画长度（秒）
Studio.App.AddEmulationDeviceDialog.KeyboardSettings,,,Keyboard Settings,Keyboard Settings,키보드 설정,Настройки клавиатуры,键盘设置
Studio.App.AddEmulationDeviceDialog.LandscapeKeyboardHeight,,,Keyboard Height (Landscape),Keyboard Height (Landscape),키보드 높이(가로),Высота клавиатуры (альбомн.),键盘高度（横向）
Studio.App.AddEmulationDeviceDialog.PortraitKeyboardHeight,,,Keyboard Height (Portrait),Keyboard Height (Portrait),키보드 높이(세로),Высота клавиатуры (книжн.),键盘高度（纵向）
Studio.App.BetaFeatures.PhysicsSleepImprovementsDescription,,,Set of changes that should make simulated parts awake and fall asleep more reliably.,Set of changes that should make simulated parts awake and fall asleep more reliably.,시뮬레이션된 파트를 활성화하고 더 안정적으로 비활성화하는 일련의 변경 사항입니다.,Набор изменений для более реалистичной активности и «засыпания» анимированных фрагментов.,应该可使模拟部件的唤醒与休眠更为可靠的一系列变更。
Studio.App.BetaFeatures.PhysicsSleepImprovementsTitle,,,Physics Sleep Behavior Improvements.,Physics Sleep Behavior Improvements.,물리적 절전 행동 개선.,Улучшение физических параметров засыпания.,对物理休眠行为进行改进。
Studio.App.BreakpointsTreeWidget.HeaderLabelCondition,,,Condition,Condition,조건,Условие,条件
Studio.App.BreakpointsTreeWidget.HeaderLabelEnabled,,,Enabled,Enabled,활성화됨,Включено,已启用
Studio.App.BreakpointsTreeWidget.HeaderLabelLine,,,Line,Line,선,Строка,行
Studio.App.BreakpointsTreeWidget.HeaderLabelScriptName,,,Script Name,Script Name,스크립트 이름,Имя скрипта,脚本名称
Studio.App.BreakpointsTreeWidget.HeaderLabelSourceLine,,,Source Line,Source Line,소스 선,Строка исходника,源行
Studio.App.CommitScriptsDialog.CommitButtonText,,,Commit,Commit,커밋,Зафиксировать,提交
Studio.App.CommitScriptsDialog.CommitMessagePlaceHolderText,,,Add a comment to describe what changed,Add a comment to describe what changed,변경된 내용을 설명하기 위한 코멘트 추가,Добавьте комментарий с описанием изменений,添加描述更改内容的注释
Studio.App.CommitScriptsDialog.ScriptSectionHeader,,,Script,Script,스크립트,Скрипт,脚本
Studio.App.CommitScriptsDialog.Title,,,Commit Scripts,Commit Scripts,스크립트 커밋,Зафиксировать скрипты,提交脚本
Studio.App.DraftsServiceHost.CommitRejected,,,"Some of the scripts cannot be committed.
Please check their status first.","Some of the scripts cannot be committed.
Please check their status first.","일부 스크립트를 커밋할 수 없습니다.
먼저 상태를 확인하세요.","Некоторые скрипты невозможно зафиксировать.
Проверьте их статус.","部分脚本无法提交。
请先检查其状态。"
Studio.App.DraftsServiceHost.CommitRejectedInProgress,,,"Server rejected commit.
Someone else is committing changes.","Server rejected commit.
Someone else is committing changes.","서버에서 커밋을 거부했습니다.
다른 사람이 변경 사항을 커밋하는 중입니다.","Невозможно зафиксировать изменения на сервере.
В данный момент это делает другой пользователь.","服务器拒绝提交。
另有他人正在提交更改。"
Studio.App.DraftsServiceHost.CommitRejectedInternalError,,,"Server rejected commit due to internal error.
Please try again later","Server rejected commit due to internal error.
Please try again later","내부 오류로 인해 서버에서 커밋을 거부했습니다.
나중에 다시 시도하세요.","Внутренняя ошибка: невозможно зафиксировать изменения на сервере.
Повторите попытку позже.","服务器因内部错误拒绝提交。
请稍后再试"
Studio.App.DraftsServiceHost.ServerCompareRemoved1,,,Unable to compare draft '%1' with server version because script has been removed from Workspace,Unable to compare draft '%1' with server version because script has been removed from Workspace,Workspace에서 스크립트가 제거되었으므로 초안 ‘%1’을(를) 서버 버전과 비교할 수 없습니다.,Не удается сравнить черновик '%1' с версией на сервере: скрипт был удален из рабочей области,无法将草稿 '%1' 与服务器版本进行比较。该脚本已从工作区移除
Studio.App.DraftsServiceHost.UpdateCacheMissing1,,,Unable to update draft '%1' because local cache missing data,Unable to update draft '%1' because local cache missing data,로컬 캐시에 데이터가 없으므로 초안 ‘%1’을(를) 업데이트할 수 없습니다.,Не удается обновить черновик '%1' в локальном кэше отсутствуют данные,无法更新草稿 '%1' ，因本地缓存数据缺失
Studio.App.DraftsServiceHost.UpdateRemoved1,,,Unable to update draft '%1' because script has been removed from Workspace,Unable to update draft '%1' because script has been removed from Workspace,이 스크립트는 Workspace에서 제거되었으므로 초안 ‘1%’을(를) 업데이트할 수 없습니다.,Не удается обновить черновик '%1': скрипт был удален из рабочей области,无法更新草稿 '%1'。该脚本已从工作区移除
Studio.App.EmulatorMainWidget.Android,,,Android,Android,Android,Android,安卓
Studio.App.EmulatorMainWidget.AndroidTV,,,AndroidTV,AndroidTV,AndroidTV,AndroidTV,AndroidTV
Studio.App.EmulatorMainWidget.BeOS,,,BeOS,BeOS,BeOS,BeOS,BeOS
Studio.App.EmulatorMainWidget.Chromecast,,,Chromecast,Chromecast,Chromecast,Chromecast,Chromecast
Studio.App.EmulatorMainWidget.DOS,,,DOS,DOS,DOS,DOS,DOS
Studio.App.EmulatorMainWidget.Landscape,,,Landscape,Landscape,Landscape,Альбомная ориентация,横向
Studio.App.EmulatorMainWidget.LandscapeLeft,,,LandscapeLeft,LandscapeLeft,LandscapeLeft,LandscapeLeft,LandscapeLeft
Studio.App.EmulatorMainWidget.LandscapeLeftSpace,,,Landscape Left,Landscape Left,Landscape Left,Альбомная ориентация влево,横置左朝向
Studio.App.EmulatorMainWidget.LandscapeRight,,,LandscapeRight,LandscapeRight,LandscapeRight,LandscapeRight,LandscapeRight
Studio.App.EmulatorMainWidget.LandscapeRightSpace,,,Landscape Right,Landscape Right,Landscape Right,Альбомная ориентация вправо,横置右朝向
Studio.App.EmulatorMainWidget.LandscapeSensor,,,LandscapeSensor,LandscapeSensor,LandscapeSensor,LandscapeSensor,LandscapeSensor
Studio.App.EmulatorMainWidget.Linux,,,Linux,Linux,Linux,Linux,Linux
Studio.App.EmulatorMainWidget.MockAndroidBackButton,,,Simulate a click on the Android Back button,Simulate a click on the Android Back button,Android 뒤로 버튼의 클릭 시뮬레이션,Симуляция щелчка нажатием кнопки Back на Android,模拟点击安卓系统后退按钮一次
Studio.App.EmulatorMainWidget.ModeNotEnabledMessage1,,,"%1 mode is not enabled for your game. To enable it, %2 set the ","%1 mode is not enabled for your game. To enable it, %2 set the ",게임에서 %1 모드를 사용할 수 없습니다. 이 모드를 사용하려면 %2에서,В вашей игре не включен режим %1. Для включения %2 установите ,您的游戏未启用 %1 模式。需要启用时， %2 请设置 
Studio.App.EmulatorMainWidget.ModeNotEnabledMessage2,,,setting of StarterGui to,setting of StarterGui to,StarterGui를 다음으로 설정하세요,"настройку StarterGui, чтобы",StarterGui 的设置设为
Studio.App.EmulatorMainWidget.ModeNotEnabledMessageOr,,,or,or,또는,или,或
Studio.App.EmulatorMainWidget.ModeNotEnabledTitle,,,%1 Not Enabled,%1 Not Enabled,%1을(를) 사용할 수 없음,Режим %1 не включен,%1 未启用
Studio.App.EmulatorMainWidget.NX,,,NX,NX,NX,NX,NX
Studio.App.EmulatorMainWidget.None,,,None,None,없음,Нет,无
Studio.App.EmulatorMainWidget.OSX,,,OSX,OSX,OSX,OSX,OSX
Studio.App.EmulatorMainWidget.Ouya,,,Ouya,Ouya,Ouya,Ouya,Ouya
Studio.App.EmulatorMainWidget.PS3,,,PS3,PS3,PS3,PS3,PS3
Studio.App.EmulatorMainWidget.PS4,,,PS4,PS4,PS4,PS4,PS4
Studio.App.EmulatorMainWidget.Portrait,,,Portrait,Portrait,Portrait,Книжная ориентация,纵向
Studio.App.EmulatorMainWidget.ScreenOrientation,,,ScreenOrientation,ScreenOrientation,ScreenOrientation,ScreenOrientation,ScreenOrientation
Studio.App.EmulatorMainWidget.Sensor,,,Sensor,Sensor,Sensor,Сенсор,传感器
Studio.App.EmulatorMainWidget.SteamOS,,,SteamOS,SteamOS,SteamOS,SteamOS,SteamOS
Studio.App.EmulatorMainWidget.UWP,,,UWP,UWP,UWP,UWP,UWP
Studio.App.EmulatorMainWidget.WebOS,,,WebOS,WebOS,WebOS,WebOS,WebOS
Studio.App.EmulatorMainWidget.WiiU,,,WiiU,WiiU,WiiU,WiiU,WiiU
Studio.App.EmulatorMainWidget.Windows,,,Windows,Windows,Windows,Windows,Windows
Studio.App.EmulatorMainWidget.XBox360,,,XBox360,XBox360,XBox360,XBox360,XBox360
Studio.App.EmulatorMainWidget.XBoxOne,,,XBoxOne,XBoxOne,XBoxOne,XBoxOne,XBoxOne
Studio.App.EmulatorMainWidget.iOS,,,iOS,iOS,iOS,iOS,iOS
Studio.App.EntityProperties.NetworkFailedOperation,,,"Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support","Operation failed. Please check your network connection and try again. If the error persists, contact Customer Support",작동에 실패했습니다. 네트워크 연결을 확인하고 다시 시도하세요. 오류가 지속되면 고객 지원팀에 문의하세요.,"Не удалось выполнить операцию. Проверьте соединение с Интернетом и повторите попытку. Если проблему решить не удалось, обратитесь в службу технической поддержки.",操作失败。请检查您的网络连接并重试。如果问题仍然持续，请联系客服
Studio.App.GenericResourceController.RemovingGameAsset,,,Removing game asset(s),Removing game asset(s),게임 애셋 제거,Удаление игровых ресурсов,正在移除游戏资源
Studio.App.IdeDoc.UnableToDeterminePlaceUniverse,,,"Unable to determine place/universe, proceeding with Edit alone","Unable to determine place/universe, proceeding with Edit alone",편집만 수행하여 장소/유니버스를 결정할 수 없습니다.,"Невозможно определить место / вселенную, будет продолжено одиночное редактирование",无法确认场景/宇宙，仅将继续编辑
Studio.App.InsertObjectUtils.CannotBeChildOf,,,%s cannot be a child of %s,%s cannot be a child of %s,%s은(는) %s의 자식이 될 수 없음,%s не может быть дочерним элементом %s,%s 无法成为 %s 的子对象
Studio.App.InsertObjectWidget.ExpandTooltip,,,Toggle expanded view,Toggle expanded view,확장된 보기 토글,Включить развернутое представление,切换扩展视图
Studio.App.InsertObject.MultipleSelectionError,,,InsertObject: Cannot do insert object when there are multiple selections. Please make sure you select a valid target object.,InsertObject: Cannot do insert object when there are multiple selections. Please make sure you select a valid target object.,InsertObject: 여러 항목을 선택하면 개체를 삽입할 수 없습니다. 유효한 목표 개체를 선택하세요.,"InsertObject: невозможно вставить объект при групповом выборе. Убедитесь, что выбран правильный целевой объект.",InsertObject：多重选中时无法插入对象。请确保您选择了一个有效的目标对象。
Studio.App.LocalPlacePublishRequestMediator.ErrorWhileSaving1,,,Error while publishing: %1,Error while publishing: %1,게시하는 동안 오류가 발생했습니다: %1,Ошибка публикации: %1,发布时出错： %1
Studio.App.PropertyItems.ImportingMesh,,,Importing mesh...,Importing mesh...,메시를 가져오는 중...,Импорт сетки...,正在导入网格…
Studio.App.PropertyItems.LoadStringEnbledWarning,,,Activating the <b>%1</b> property might make your game vulnerable to exploits. Are you sure you want to enable this?,Activating the <b>%1</b> property might make your game vulnerable to exploits. Are you sure you want to enable this?,<b>%1</b> 속성을 활성화하면 게임이 쉽게 악용될 수 있습니다. 이 항목을 사용하도록 설정할까요?,<b>%1</b>: активация свойства может привести к уязвимости игры к эксплойтам. Включить это свойство?,激活 <b>%1</b> 后，您的游戏可能会出现漏洞。确定要启用吗？
Studio.App.PropertyItems.PackageVersionFailedMessage,,,Unable to perform this action.,Unable to perform this action.,이 작업을 수행할 수 없습니다.,Не удается выполнить действие.,无法执行此操作。
Studio.App.PropertyItems.RevertPackageConfirmation,,,Are you sure you want to revert this package to version %1 ?,Are you sure you want to revert this package to version %1 ?,이 패키지를 버전 %1(으)로 되돌릴까요?,Вернуться к версии %1?,您确定要将该包回退至 %1 版本吗？
Studio.App.Property.LocalAssetsFolder,,,Local Assets Folder,Local Assets Folder,로컬 애셋 폴더,Папка местных ресурсов,本地资源文件夹
Studio.App.QtUtilities.DisabledDuringTesting,,,Disabled during testing,Disabled during testing,테스트 시 사용 안 함,Отключено во время тестирования,测试中禁用
Studio.App.RBXMainWindow.DebugAsBuiltinPlugin,,,Debug as Built-in Plugin,Debug as Built-in Plugin,내장 플러그인으로 디버그,Отладка в виде встроенного плагина,作为内置插件调试
Studio.App.RBXMainWindow.DebugAsPlugin,,,Debug as Plugin,Debug as Plugin,플러그인으로 디버그,Отладка в виде плагина,作为插件调试
Studio.App.RBXMainWindow.InsertObjectsWidgetMenu,,,Open insert object menu,Open insert object menu,개체 삽입 메뉴 열기,Открыть меню вставки объекта,开启插入对象菜单
Studio.App.RBXMainWindow.QuickFindScriptUseCtrlP,,,"This Dialog is deprecated, please use Quick Open (Ctrl+P) instead","This Dialog is deprecated, please use Quick Open (Ctrl+P) instead",이 대화문은 더 이상 사용되지 않으므로 빠른 열기(Ctrl+P)를 대신 사용하세요.,Этот диалог устарел. Используйте опцию быстрого открывания (Ctrl+P).,该对话框已弃用，请使用快速打开功能（Ctrl+P）
Studio.App.RBXMainWindow.StartRemoteDebug,,,Start Remote Debug,Start Remote Debug,원격 디버그 시작,Начать удаленную отладку,开始远程调试
Studio.App.RobloxChatWidget.ChattingWith,,,Chatting with %1,Chatting with %1,%1님과 채팅하는 중,Ваш собеседник в чате - %1,正在与 %1 聊天
Studio.App.RobloxChatWidget.DisabledChatMessage,,,%1 Turn on chat in your %2 Privacy Settings %3 to chat with friends! %4,%1 Turn on chat in your %2 Privacy Settings %3 to chat with friends! %4,%1 %2 개인 정보 보호 설정 %3에서 채팅을 켜서 친구들과 채팅하세요! %4,%1 Включите возможность чата в ваших %2 Настройках конфиденциальности %3 и беседуйте с друзьями! %4,%1 在您的 %2 隐私设置 %3 中开启聊天来与朋友交流！ %4
Studio.App.RobloxChatWidget.FailedSendAMessage,,,Failed to send message: ,Failed to send message: ,메시지 전송 실패:,Не удалось отправить сообщение: ,发送消息失败： 
Studio.App.RobloxChatWidget.NotFriendErrorMessage,,,Individual chat is available only for friends. Please friend '%1' or use group chat to talk.,Individual chat is available only for friends. Please friend '%1' or use group chat to talk.,개별 채팅은 친구만 사용할 수 있습니다. ‘%1’과(와) 친구를 맺거나 그룹 채팅을 사용하여 채팅하세요.,Индивидуальный чат доступен только для друзей. Добавьте пользователя (%1) в друзья или используйте групповой чат.,单独聊天仅限于好友之间。请添加 '%1' 为好友或使用群组聊天。
Studio.App.RobloxDiagnosticsView.HeaderLabelName,,,Name,Name,이름,Имя,名称
Studio.App.RobloxDiagnosticsView.HeaderLabelValue,,,Value,Value,값,Значение,值
Studio.App.RobloxMouseConfig.RightClick,,,Right Click,Right Click,마우스 오른쪽 클릭,ПКМ,鼠标右键
Studio.App.RobloxMouseConfig.RightClickAlt,,,Right Click + Alt,Right Click + Alt,마우스 오른쪽 클릭 + Alt,ПКМ + Alt,鼠标右键 + Alt
Studio.App.RobloxMouseConfig.RightClickCtrl,,,Right Click + Ctrl,Right Click + Ctrl,마우스 오른쪽 클릭 + Ctrl,ПКМ + Ctrl,鼠标右键 + Ctrl
Studio.App.RobloxMouseConfig.RightClickShift,,,Right Click + Shift,Right Click + Shift,마우스 오른쪽 클릭 + Shift,ПКМ + Shift,鼠标右键 + Shift
Studio.App.RobloxRibbonMainWindow.AddDebugPlugin,,,Add Debug Plugin,Add Debug Plugin,디버그 플러그인 추가,Добавить плагин отладки,添加调试插件
Studio.App.RobloxScriptDiffDoc.DiffResult,,,Diff Result,Diff Result,다른 결과,Различие,差异结果
Studio.App.RobloxScriptReview.HeaderLabelActivity,,,Activity,Activity,활동,Активность,活跃状态
Studio.App.RobloxScriptReview.HeaderLabelCount,,,Count,Count,개수,Кол-во,计数
Studio.App.RobloxScriptReview.HeaderLabelName,,,Name,Name,이름,Имя,名称
Studio.App.RobloxScriptReview.HeaderLabelRate,,,Rate,Rate,등급,Рейтинг,评级
Studio.App.RobloxStudioVerbs.Publishing,,,Publishing,Publishing,게시,Публикация,发布
Studio.App.RobloxStudioVerbs.RemoteDebug,,,Remote Debug,Remote Debug,원격 디버그,Удаленная отладка,远程调试
Studio.App.RobloxStudioVerbs.RemoteDebugSaveFailure,,,Remote Debug - save failure,Remote Debug - save failure,원격 디버그 - 저장 실패,Удаленная отладка: ошибка сохранения,远程调试 - 保存失败
Studio.App.RobloxStudioVerbs.SavingTo,,,Saving to Roblox...,Saving to Roblox...,Roblox에 저장하는 중...,Сохранение в Roblox...,正在保存至 Roblox…
Studio.App.RobloxStudioVerbs.ScreenshotSaved,,,Screenshot saved! Click here to open screenshot folder.,Screenshot saved! Click here to open screenshot folder.,스크린숏이 저장되었습니다. 스크린숏 폴더를 열려면 여기를 클릭하세요.,"Скриншот сохранен! Щелкните, чтобы открыть папку.",截图已保存！点此开启截图文件夹。
Studio.App.RobloxStudioVerbs.StartingPlayers,,,Starting players,Starting players,플레이어 시작,Запуск игроков,初始玩家
Studio.App.RobloxTaskScheduler.HeaderLabelActivity,,,Activity,Activity,활동,Активность,活跃状态
Studio.App.RobloxTaskScheduler.HeaderLabelName,,,Name,Name,이름,Имя,名称
Studio.App.RobloxTaskScheduler.HeaderLabelRate,,,Rate,Rate,등급,Рейтинг,评级
Studio.App.RobloxTaskScheduler.HeaderLabelTime,,,Time,Time,시간,Время,时间
Studio.App.RobloxTeamCreateWidget.GroupOwnedPlace,,,Group owned place,Group owned place,그룹 소유 장소,Место - собственность группы,群组共有场景
Studio.App.ScriptTextEditor.FilterText,,,  Type to filter functions. Tab or Enter to go to selected function,  Type to filter functions. Tab or Enter to go to selected function,  기능을 필터링하려면 입력하세요. 선택한 기능으로 이동하려면 탭하거나 Enter 키를 누르세요.,"  Начните печатать для поиска фильтра. Нажмите Tab или Enter, чтобы перейти к выбранной функции",  输入以过滤函数。按 Tab 或 Enter 键前往选择的函数。
Studio.App.ScriptsInBatchDialog.ScriptSectionHeader,,,Script,Script,스크립트,Скрипт,脚本
Studio.App.ScriptsInBatchDialog.Title,,,Scripts In Batch,Scripts In Batch,배치 스크립트,Скрипты в пакете,批量脚本
Studio.App.ScriptsInBatchDialog.VersionSectionHeader,,,Version,Version,버전,Версия,版本
Studio.App.ShareModal.SearchPlaceholderText,,,Search for friends,Search for friends,친구 검색,Поиск друзей,搜索好友
Studio.App.Tooltip.GoToSource,,,Go to source,Go to source,소스로 이동,Перейти к исходнику,前往源
Studio.App.VersionHistoryDialog.BatchColumnTitle,,,Scripts in Batch,Scripts in Batch,배치 스크립트,Скрипты в пакете,批量脚本
Studio.App.VersionHistoryDialog.CommentColumnTitle,,,Comment,Comment,코멘트,Комментарий,注释
Studio.App.VersionHistoryDialog.CommittedColumnTitle,,,Committed,Committed,커밋됨,Зафиксировано,已提交
Studio.App.VersionHistoryDialog.CommitterColumnTitle,,,Changed By,Changed By,변경 주체,Автор изменений:,更改者：
Studio.App.VersionHistoryDialog.CompareButtonText,,,Compare selected versions,Compare selected versions,선택된 버전 비교,Сравнить выбранные версии,比较已选中版本
Studio.App.VersionHistoryDialog.CompareWithPreviousButtonText,,,Compare with previous version,Compare with previous version,이전 버전과 비교,Сравнить с предыдущей версией,与前一版本进行比较
Studio.App.VersionHistoryDialog.CurrentVersionLabel1,,,%1 (Current),%1 (Current),%1(현재),%1 (текущая),%1 （当前）
Studio.App.VersionHistoryDialog.EditAllButtonText,,,Open all scripts from batch,Open all scripts from batch,배치에서 모든 스크립트 열기,Редактировать все скрипты в пакете,打开批量中的所有脚本
Studio.App.VersionHistoryDialog.EditThisButtonText,,,Open script,Open script,스크립트 열기,Редактировать этот скрипт,打开脚本
Studio.App.VersionHistoryDialog.NoScriptHistoryWarning,,,There is no saved history for this script,There is no saved history for this script,이 스크립트에 대해 저장된 내역 없음,Для скрипта нет сохраненной истории,此脚本没有已保存的历史记录
Studio.App.VersionHistoryDialog.OpenDialog,,,View Script History,View Script History,스크립트 내역 보기,Просмотреть историю скрипта,查看脚本历史记录
Studio.App.VersionHistoryDialog.PlaceVersionColumnTitle,,,Place Version,Place Version,장소 버전,Версия места,场景版本
Studio.App.VersionHistoryDialog.PlaceVersionLabel1,,,Place V%1,Place V%1,장소 V%1,Место V%1,场景 V %1
Studio.App.VersionHistoryDialog.ShowBatchContentsLink,,,Show,Show,표시,Показать,显示
Studio.App.VersionHistoryDialog.Title1,,,%1 - Version History,%1 - Version History,%1 - 버전 내역,%1 - история версии,%1 - 版本历史记录
Studio.App.VersionHistoryDialog.VersionColumnTitle,,,Version,Version,버전,Версия,版本
Studio.App.VersionHistoryDialog.ViewButtonText,,,View,View,보기,Просмотр,查看
Studio.App.VideoControl.RecordingStarted,,,Video recording started,Video recording started,비디오 녹화 시작됨,Начата запись видео,已开始视频录制
Studio.App.VideoControl.RecordingStopped,,,Video recording stopped,Video recording stopped,비디오 녹화 중지됨,Остановлена запись видео,已停止视频录制
Studio.App.ManageEmulationDeviceDialog.CloneDevice,,,Clone Device,Clone Device,기기 복제,,复制设备
Studio.App.RBXMainWindow.ResumesExection,,,Resumes execution after pausing,Resumes execution after pausing,일시 정지 후 실행 재개,,暂停后继续执行
Studio.App.RBXMainWindow.SaveAndReloadPlugin,,,Save and Reload Plugin,Save and Reload Plugin,플러그인 저장 및 다시 불러오기,,保存并重新加载插件
Studio.App.RBXMainWindow.SaveAndReloadPluginTooltip,,,Save Plugin back to disk. Stop plugin exection. Reload from disk.,Save Plugin back to disk. Stop plugin exection. Reload from disk.,플러그인을 디스크에 다시 저장하세요. 플러그인 실행을 중지하세요. 디스크에서 다시 불러오세요.,,将插件保存回硬盘。停止插件执行。重新从硬盘载入。
Studio.App.RobloxRibbonMainWindow.ViewAssetManager,,,View Asset Manager,View Asset Manager,애셋 관리자 보기,,查看资源管理器
Studio.App.RobloxStudioVerbs.DirtyPublishWarning1,,,There are uncommitted script changes that will not be published with the place. Do you want to publish anyway? <a href=%1>Learn more</a>,There are uncommitted script changes that will not be published with the place. Do you want to publish anyway? <a href=%1>Learn more</a>,"커밋되지 않은 스크립트 변경 사항이 있으며, 플레이스와 함께 게시할 수 없습니다. 그래도 게시할까요? <a href=%1>더 알아보기</a>",,存在未提交的脚本更改，将不会随场景共同发布。确定继续发布吗？<a href=%1>了解更多</a>
Studio.App.RobloxStudioVerbs.PublishConfirm,,,Publish,Publish,게시,,发布
Studio.App.RobloxStudioVerbs.PublishConfirmTitle,,,Uncommitted changes,Uncommitted changes,커밋되지 않은 변경 사항,,未发布的更改
Studio.App.RobloxStudioVerbs.QuickOpenActions,,,Quick Open Actions,Quick Open Actions,빠른 작업 열기,,快捷打开动作
Studio.App.SandboxLocalCache.DialogTitle,,,Drafts Local Cache,Drafts Local Cache,로컬 캐시 초안,,草稿本地缓存
Studio.App.SandboxLocalCache.MetaDataCorruptedMessage,,,"Can't restore drafts information, metadata corrupted","Can't restore drafts information, metadata corrupted","초안 정보를 복원할 수 없으며, 메타데이터가 손상되었습니다.",,无法恢复草稿信息，元数据已损坏
